thscode,name,apply_date,listing_date,apply_listing_lag_days,d1_open,d30_close,return_d30,n_days,status
2250.HK,小黄鸭德盈,2022-02-06,2022-01-17,-20,2.6,1.83,-0.2961538461538461,55,ok
1406.HK,清晰医疗,2022-03-14,2022-02-18,-24,1.59,1.25,-0.21383647798742145,56,ok
2157.HK,乐普生物-B,2022-03-17,2022-02-23,-22,7.13,6.5,-0.08835904628330993,54,ok
9866.HK,蔚来-SW,2022-02-28,2022-03-10,10,160.0,130.9,-0.181875,34,ok
7836.HK,Aquila Acq-Z,2022-03-17,2022-03-18,1,9.7,9.18,-0.05360824742268033,37,ok
6639.HK,瑞尔集团,2022-04-13,2022-03-22,-22,14.6,12.5,-0.14383561643835618,53,ok
6655.HK,华新建材,2022-03-22,2022-03-28,6,14.74,13.82,-0.062415196743555,35,ok
0587.HK,海螺环保,2022-03-22,2022-03-30,8,10.0,6.28,-0.372,33,ok
2179.HK,瑞科生物-B,2022-04-24,2022-03-31,-24,25.0,24.55,-0.018000000000000016,55,ok
9638.HK,法拉帝,2022-04-24,2022-03-31,-24,23.05,22.95,-0.004338394793926281,55,ok
2390.HK,知乎-W,2022-05-15,2022-04-22,-23,24.95,28.1,0.12625250501002006,56,ok
2352.HK,东原仁知服务,2022-05-23,2022-04-29,-24,11.9,11.16,-0.06218487394957983,57,ok
2423.HK,贝壳-W,2022-05-05,2022-05-11,6,30.0,46.0,0.5333333333333334,37,ok
7827.HK,VISION DEAL-Z,2022-06-09,2022-06-10,1,10.0,9.85,-0.015000000000000013,41,ok
6667.HK,美因基因,2022-06-21,2022-06-22,1,19.48,17.72,-0.09034907597535946,42,ok
2246.HK,快狗打车,2022-07-18,2022-06-24,-24,21.5,5.0,-0.7674418604651163,59,ok
2167.HK,天润云,2022-07-24,2022-06-30,-24,12.84,9.97,-0.22352024922118374,59,ok
6638.HK,金融壹账通,2022-06-28,2022-07-04,6,5.3,3.49,-0.3415094339622641,40,ok
2391.HK,涂鸦智能-W,2022-07-27,2022-07-05,-22,19.56,13.26,-0.32208588957055206,58,ok
9955.HK,智云健康,2022-07-28,2022-07-06,-22,30.5,17.8,-0.41639344262295075,58,ok
2392.HK,玄武云,2022-07-31,2022-07-08,-23,6.24,6.05,-0.030448717948718063,59,ok
2297.HK,润迈德-B,2022-08-01,2022-07-08,-24,5.6,4.02,-0.28214285714285714,60,ok
2385.HK,读书郎,2022-08-04,2022-07-12,-23,5.4,6.84,0.2666666666666666,59,ok
9896.HK,名创优品,2022-08-05,2022-07-13,-23,13.2,11.46,-0.13181818181818172,58,ok
6686.HK,诺亚控股,2022-08-05,2022-07-13,-23,285.0,289.8,0.01684210526315799,58,ok
9696.HK,天齐锂业,2022-08-05,2022-07-13,-23,74.5,85.6,0.148993288590604,58,ok
6661.HK,湖州燃气,2022-08-04,2022-07-13,-22,5.98,4.98,-0.16722408026755853,58,ok
1204.HK,博维智慧,2022-08-05,2022-07-15,-21,1.14,1.14,0.0,56,ok
2172.HK,微创脑科学,2022-08-07,2022-07-15,-23,24.7,24.4,-0.012145748987854255,58,ok
2418.HK,德银天下,2022-08-08,2022-07-15,-24,1.75,1.3,-0.2571428571428571,59,ok
9857.HK,柠萌影视,2022-09-02,2022-08-10,-23,27.75,25.7,-0.0738738738738739,58,ok
7841.HK,汇德收购-Z,2022-08-12,2022-08-15,3,10.0,10.0,0.0,3,partial_3d
1880.HK,中国中免,2022-09-19,2022-08-25,-25,120.0,199.0,0.6583333333333334,60,ok
2315.HK,百奥赛图-B,2022-09-23,2022-09-01,-22,26.3,26.45,0.005703422053231932,57,ok
9886.HK,叮当健康,2022-10-06,2022-09-14,-22,12.34,11.94,-0.03241491085899517,58,ok
7801.HK,Interra Acq-Z,2022-09-15,2022-09-16,1,9.78,10.0,0.02249488752556239,41,ok
1698.HK,腾讯音乐-SW,2022-09-15,2022-09-21,6,18.0,14.86,-0.1744444444444445,38,ok
2350.HK,数科集团,2022-10-17,2022-09-26,-21,0.9,0.425,-0.5277777777777778,59,ok
9863.HK,零跑汽车,2022-10-23,2022-09-29,-24,41.0,19.3,-0.5292682926829269,60,ok
3931.HK,中创新航,2022-10-28,2022-10-06,-22,38.0,22.9,-0.3973684210526316,57,ok
9877.HK,健世科技-B,2022-10-31,2022-10-10,-21,28.0,32.6,0.16428571428571437,58,ok
1489.HK,GC CONSTRUCTION,2022-10-07,2022-10-10,3,0.62,0.53,-0.14516129032258063,42,ok
2422.HK,润歌互动,2022-11-06,2022-10-17,-20,1.3,2.82,1.169230769230769,56,ok
6610.HK,飞天云动,2022-11-07,2022-10-18,-20,2.21,4.43,1.004524886877828,56,ok
2367.HK,巨子生物,2022-11-27,2022-11-04,-23,26.0,31.2,0.19999999999999996,54,ok
2291.HK,心泰医疗,2022-12-01,2022-11-08,-23,29.8,29.0,-0.02684563758389269,54,ok
6696.HK,多想云,2022-12-02,2022-11-09,-23,2.91,0.64,-0.7800687285223368,54,ok
1407.HK,交运燃气,2022-12-08,2022-11-16,-22,1.52,0.85,-0.4407894736842105,53,ok
3660.HK,奇富科技-S,2022-12-06,2022-11-29,-7,50.6,88.3,0.7450592885375493,43,ok
2245.HK,力勤资源,2022-12-28,2022-12-01,-27,15.8,14.6,-0.07594936708860767,56,ok
6963.HK,阳光保险,2022-12-08,2022-12-09,1,5.83,4.84,-0.16981132075471705,36,ok
2440.HK,迷策略,2022-12-09,2022-12-12,3,2.22,1.68,-0.2432432432432433,36,ok
2407.HK,高视医疗,2023-01-04,2022-12-12,-23,51.2,51.4,0.00390625,54,ok
3611.HK,花房集团,2023-01-04,2022-12-12,-23,3.29,2.38,-0.27659574468085113,54,ok
6689.HK,洪九果品,2023-03-14,2022-12-14,-90,71.0,27.2,-0.6169014084507043,98,ok
1947.HK,美皓集团,2023-01-05,2022-12-14,-22,0.76,0.51,-0.32894736842105265,53,ok
1244.HK,思路迪医药股份,2023-01-09,2022-12-15,-25,29.0,58.65,1.022413793103448,56,ok
9985.HK,卫龙美味,2023-01-09,2022-12-15,-25,10.2,11.18,0.09607843137254912,56,ok
2076.HK,BOSS直聘-W,2022-12-16,2022-12-22,6,77.85,89.15,0.14515093127809897,33,ok
2145.HK,上美股份,2023-01-16,2022-12-22,-25,25.2,27.5,0.09126984126984139,56,ok
0314.HK,思派健康,2023-01-15,2022-12-23,-23,23.7,20.35,-0.14135021097046407,54,ok
6698.HK,星空华文,2023-01-19,2022-12-29,-21,32.55,102.5,2.1490015360983103,54,ok
3896.HK,金山云,2022-12-23,2022-12-30,7,1.99,2.37,0.1909547738693469,34,ok
6955.HK,博安生物,2023-01-25,2022-12-30,-26,19.9,14.22,-0.28542713567839184,57,ok
2425.HK,澳亚集团,2023-03-01,2022-12-30,-61,6.1,5.04,-0.17377049180327864,79,ok
9658.HK,特海国际,2022-12-19,2022-12-30,11,7.0,16.54,1.3628571428571425,32,ok
6922.HK,康沣生物-B,2022-12-29,2022-12-30,1,18.5,15.06,-0.18594594594594593,38,ok
7855.HK,TECHSTARACQ-Z,2022-12-22,2023-01-06,15,8.5,9.99,0.17529411764705882,29,partial_29d
2402.HK,亿华通,2023-02-06,2023-01-12,-25,60.0,60.55,0.009166666666666545,57,ok
2147.HK,正味集团,2023-02-10,2023-01-13,-28,0.74,0.48,-0.3513513513513513,57,ok
2458.HK,望尘科技控股,2023-01-13,2023-01-16,3,5.0,6.35,0.27,39,ok
2373.HK,美丽田园医疗健康,2023-02-05,2023-01-16,-20,30.5,25.0,-0.180327868852459,55,ok
2411.HK,百果园集团,2023-02-08,2023-01-16,-23,6.52,6.4,-0.018404907975460016,55,ok
2306.HK,乐华娱乐,2023-02-12,2023-01-19,-24,5.6,4.56,-0.18571428571428572,55,ok
2450.HK,淮北绿金股份,2023-02-12,2023-01-20,-23,1.21,0.81,-0.3305785123966941,54,ok
2152.HK,苏新服务,2023-04-27,2023-01-27,-90,8.6,7.98,-0.0720930232558139,101,ok
2482.HK,维天运通,2023-04-03,2023-03-09,-25,2.81,2.76,-0.017793594306049876,57,ok
2421.HK,嘉创地产,2023-03-03,2023-03-23,20,1.76,1.35,-0.23295454545454541,25,partial_25d
1405.HK,达势股份,2023-04-03,2023-03-28,-6,46.0,50.5,0.09782608695652173,44,ok
2409.HK,洲际船务,2023-04-16,2023-03-29,-18,3.28,2.82,-0.1402439024390244,52,ok
2433.HK,中天湖南集团,2023-04-24,2023-03-30,-25,2.92,2.49,-0.14726027397260266,56,ok
2405.HK,力盟科技,2023-04-23,2023-03-31,-23,0.76,2.2,1.8947368421052633,54,ok
9669.HK,北森控股,2023-05-04,2023-04-13,-21,29.6,8.89,-0.6996621621621621,55,ok
6623.HK,陆控,2023-04-11,2023-04-14,3,33.5,21.8,-0.3492537313432835,39,ok
2415.HK,梅斯健康,2023-04-26,2023-04-27,1,8.85,10.16,0.14802259887005653,39,ok
6979.HK,珍酒李渡,2023-05-25,2023-04-27,-28,9.0,6.93,-0.22999999999999998,59,ok
2442.HK,怡俊集团控股,2023-05-29,2023-05-09,-20,0.87,1.38,0.586206896551724,56,ok
9930.HK,宏信建发,2023-06-19,2023-05-25,-25,3.26,2.64,-0.1901840490797545,59,ok
2416.HK,易点云,2023-06-18,2023-05-25,-24,9.46,10.08,0.06553911205073981,58,ok
2487.HK,科笛-B,2023-07-05,2023-06-12,-23,21.8,20.5,-0.059633027522935755,57,ok
2105.HK,来凯医药-B,2023-06-28,2023-06-29,1,12.44,17.7,0.42282958199356924,41,ok
9860.HK,艾迪康控股,2023-07-23,2023-06-30,-23,12.32,12.88,0.045454545454545414,57,ok
6990.HK,科伦博泰生物,2023-08-03,2023-07-11,-23,60.6,83.0,0.36963696369636967,56,ok
3650.HK,KEEP,2023-07-11,2023-07-12,1,30.3,30.5,0.0066006600660066805,40,ok
6683.HK,巨星传奇,2023-08-04,2023-07-13,-22,5.75,6.08,0.05739130434782602,55,ok
1284.HK,新传企划,2023-07-14,2023-07-18,4,0.88,0.49,-0.44318181818181823,39,ok
2271.HK,众安智慧生活,2023-08-10,2023-07-18,-23,1.2,0.87,-0.275,57,ok
6660.HK,艾美疫苗,2023-10-23,2023-07-25,-90,46.75,45.05,-0.036363636363636376,105,ok
2372.HK,伟立控股,2023-10-27,2023-07-31,-88,0.44,0.45,0.022727272727272707,101,ok
1541.HK,宜明昂科-B,2023-09-28,2023-09-05,-23,21.2,28.1,0.32547169811320775,57,ok
2490.HK,乐舱物流,2023-10-18,2023-09-25,-23,5.13,4.98,-0.029239766081871288,58,ok
2496.HK,友芝友生物-B,2023-10-19,2023-09-25,-24,16.4,9.8,-0.4024390243902438,59,ok
9690.HK,途虎-W,2023-10-19,2023-09-26,-23,28.0,33.0,0.1785714285714286,58,ok
6682.HK,范式智能,2023-10-23,2023-09-28,-25,63.1,49.15,-0.2210776545166403,60,ok
9890.HK,贪玩,2023-10-23,2023-09-28,-25,13.78,12.12,-0.12046444121915822,60,ok
9686.HK,熙康云医院,2023-09-27,2023-09-28,1,3.69,1.76,-0.5230352303523036,40,ok
2501.HK,迈越科技,2023-10-10,2023-10-11,1,1.23,1.3,0.05691056910569103,42,ok
9676.HK,十月稻田,2023-10-11,2023-10-12,1,16.6,27.5,0.6566265060240963,41,ok
0816.HK,金茂服务,2024-01-18,2023-10-20,-90,2.13,1.78,-0.164319248826291,101,ok
1519.HK,极兔速递-W,2023-11-19,2023-10-27,-23,12.0,13.1,0.09166666666666656,57,ok
2517.HK,锅圈,2023-11-27,2023-11-02,-25,5.98,8.7,0.4548494983277589,59,ok
2429.HK,友宝在线,2023-11-02,2023-11-03,1,12.5,15.8,0.264,39,ok
2473.HK,喜相逢集团,2023-11-08,2023-11-09,1,2.18,2.19,0.004587155963302614,39,ok
1111.HK,华视集团控股,2023-11-09,2023-11-10,1,1.65,1.7,0.030303030303030276,39,ok
2499.HK,佛朗斯股份,2023-12-04,2023-11-10,-24,15.48,14.8,-0.043927648578811374,58,ok
