concept_id,concept_name,n_ipo_hits,block_total_size
011007_301728,军工股[HK],0,9
011007_301729,移动支付[HK],0,12
011007_301736,LED[HK],0,9
011007_301737,阿里巴巴概念[HK],2,20
011007_301738,殡葬[HK],0,5
011007_301739,博彩概念[HK],0,24
011007_301740,次新股[HK],144,146
011007_301741,影视娱乐[HK],1,27
011007_301742,风电[HK],0,23
011007_301743,高铁[HK],0,9
011007_301744,光大系[HK],0,7
011007_301745,航空股[HK],0,10
011007_301746,核电核能[HK],0,9
011007_301747,华润系[HK],0,7
011007_301748,节能环保[HK],0,53
011007_301750,民营医院[HK],0,6
011007_301751,乳业[HK],0,9
011007_301752,内地房地产[HK],0,46
011007_301753,苹果概念[HK],0,13
011007_301755,涉矿[HK],0,19
011007_301756,台资企业[HK],0,31
011007_301757,太阳能[HK],0,14
011007_301758,腾讯概念[HK],2,23
011007_301759,体育[HK],0,18
011007_301760,天然气[HK],1,54
011007_301761,外国公司[HK],0,10
011007_301762,网络游戏[HK],0,30
011007_301763,物流[HK],2,40
011007_301764,稀土永磁[HK],1,8
011007_301765,新能源汽车[HK],5,26
011007_301766,页岩气[HK],0,18
011007_301767,移动互联网[HK],0,31
011007_301768,婴童[HK],0,20
011007_301769,在线旅游[HK],0,5
011007_301770,长和系[HK],0,12
011007_301771,智能穿戴[HK],0,10
011007_301774,中信系[HK],0,6
011007_301775,国企改革[HK],1,151
011007_301900,电子商务[HK],1,27
011007_301901,财产管理[HK],0,71
011007_301902,融资租赁[HK],0,12
011007_301903,连锁酒店[HK],0,42
011007_301904,品牌服饰[HK],0,51
011007_301905,健康产业[HK],1,44
011007_301906,生物医药[HK],0,56
011007_301907,电子信息[HK],0,80
011007_301908,猪肉[HK],0,4
011007_301909,互联网+[HK],0,23
011007_301983,文化传媒[HK],0,49
011007_301984,小金属[HK],0,30
011007_301985,农业现代化[HK],0,29
011007_301986,软件外包[HK],0,21
011007_301987,安防[HK],0,5
011007_301988,汽车制造[HK],0,25
011007_301989,智能医疗[HK],3,21
011007_301990,新材料[HK],0,10
011007_301993,小额贷款[HK],0,7
