ipo_id,stock_code,concept_id,concept_name,data_date
HK_0068_HK_2026,0068.HK,011007_301740,次新股[HK],2026-05-09
HK_0100_HK_2026,0100.HK,011007_301740,次新股[HK],2026-05-09
HK_0100_HK_2026,0100.HK,011007_305848,人工智能[HK],2026-05-09
HK_0100_HK_2026,0100.HK,011007_309047,AIGC概念[HK],2026-05-09
HK_0300_HK_2024,0300.HK,011007_306636,芯片替代[HK],2026-05-09
HK_0300_HK_2024,0300.HK,011007_308680,华为概念[HK],2026-05-09
HK_0300_HK_2024,0300.HK,011007_308847,数据中心[HK],2026-05-09
HK_0300_HK_2024,0300.HK,011007_309172,机器人概念[HK],2026-05-09
HK_0325_HK_2025,0325.HK,011007_308997,玩具及消闲用品[HK],2026-05-09
HK_0325_HK_2025,0325.HK,011007_309175,IP经济(谷子经济)[HK],2026-05-09
HK_0470_HK_2026,0470.HK,011007_301740,次新股[HK],2026-05-09
HK_0501_HK_2026,0501.HK,011007_301740,次新股[HK],2026-05-09
HK_0600_HK_2026,0600.HK,011007_301740,次新股[HK],2026-05-09
HK_0638_HK_2025,0638.HK,011007_301740,次新股[HK],2026-05-09
HK_0664_HK_2026,0664.HK,011007_301740,次新股[HK],2026-05-09
HK_0666_HK_2023,0666.HK,011007_309176,固态电池[HK],2026-05-09
HK_0699_HK_2025,0699.HK,011007_301737,阿里巴巴概念[HK],2026-05-09
HK_0699_HK_2025,0699.HK,011007_301740,次新股[HK],2026-05-09
HK_0699_HK_2025,0699.HK,011007_301765,新能源汽车[HK],2026-05-09
HK_0699_HK_2025,0699.HK,011007_305874,无人驾驶[HK],2026-05-09
HK_0699_HK_2025,0699.HK,011007_305876,5G[HK],2026-05-09
HK_0699_HK_2025,0699.HK,011007_308680,华为概念[HK],2026-05-09
HK_0699_HK_2025,0699.HK,011007_308908,充电桩概念股[HK],2026-05-09
HK_0699_HK_2025,0699.HK,011007_308939,数字经济[HK],2026-05-09
HK_0699_HK_2025,0699.HK,011007_309172,机器人概念[HK],2026-05-09
HK_0800_HK_2025,0800.HK,011007_301740,次新股[HK],2026-05-09
HK_0816_HK_2022,0816.HK,011007_308665,物业管理[HK],2026-05-09
HK_0999_HK_2024,0999.HK,011007_302023,餐饮连锁[HK],2026-05-09
HK_1021_HK_2026,1021.HK,011007_301740,次新股[HK],2026-05-09
HK_1187_HK_2026,1187.HK,011007_301740,次新股[HK],2026-05-09
HK_1204_HK_2022,1204.HK,011007_309178,脑机接口[HK],2026-05-09
HK_1244_HK_2022,1244.HK,011007_308112,创新药[HK],2026-05-09
HK_1244_HK_2022,1244.HK,011007_308120,抗癌概念[HK],2026-05-09
HK_1244_HK_2022,1244.HK,011007_308676,生物医药B类[HK],2026-05-09
HK_1274_HK_2023,1274.HK,011007_305874,无人驾驶[HK],2026-05-09
HK_1276_HK_2025,1276.HK,011007_301740,次新股[HK],2026-05-09
HK_1304_HK_2025,1304.HK,011007_301740,次新股[HK],2026-05-09
HK_1318_HK_2024,1318.HK,011007_306256,零售股[HK],2026-05-09
HK_1318_HK_2024,1318.HK,011007_307378,化妆美容股[HK],2026-05-09
HK_1364_HK_2025,1364.HK,011007_302023,餐饮连锁[HK],2026-05-09
HK_1364_HK_2025,1364.HK,011007_308789,非酒精饮料[HK],2026-05-09
HK_1384_HK_2025,1384.HK,011007_301740,次新股[HK],2026-05-09
HK_1609_HK_2026,1609.HK,011007_301740,次新股[HK],2026-05-09
