ipo_id,stock_code,company_name_zh,n_concepts,concept_names,concept_ids
HK_3750_HK_2025,3750.HK,宁德时代,1,次新股[HK],011007_301740
HK_0300_HK_2024,0300.HK,美的集团,4,芯片替代[HK]|华为概念[HK]|数据中心[HK]|机器人概念[HK],011007_306636|011007_308680|011007_308847|011007_309172
HK_6936_HK_2024,6936.HK,顺丰控股,4,物流[HK]|无人驾驶[HK]|智能物流[HK]|机器人概念[HK],011007_301763|011007_305874|011007_306264|011007_309172
HK_9973_HK_2025,9973.HK,奇瑞汽车,1,次新股[HK],011007_301740
HK_2714_HK_2026,2714.HK,牧原股份,1,次新股[HK],011007_301740
HK_3296_HK_2026,3296.HK,华勤技术,9,阿里巴巴概念[HK]|次新股[HK]|腾讯概念[HK]|医疗美容器械[HK]|无人驾驶[HK]|芯片替代[HK]|华为概念[HK]|抖音概念(字节概念)[HK]|机器人概念[HK],011007_301737|011007_301740|011007_301758|011007_301994|011007_305874|011007_306636|011007_308680|011007_308928|011007_309172
HK_9878_HK_2022,9878.HK,汇通达网络,1,DeepSeek概念[HK],011007_309186
HK_6963_HK_2022,6963.HK,阳光保险,0,,
HK_2423_HK_2022,2423.HK,贝壳-W,4,知名公司[HK]|回港中概股[HK]|房地产服务[HK]|双重主要上市中概股[HK],011007_308392|011007_308804|011007_308958|011007_309018
HK_6031_HK_2025,6031.HK,三一重工,1,次新股[HK],011007_301740
HK_1880_HK_2022,1880.HK,中国中免,4,国企改革[HK]|电子商务[HK]|自由贸易港[HK]|旅游及观光[HK],011007_301775|011007_301900|011007_307596|011007_308787
HK_1519_HK_2023,1519.HK,极兔速递-W,0,,
HK_0699_HK_2025,0699.HK,均胜电子,9,阿里巴巴概念[HK]|次新股[HK]|新能源汽车[HK]|无人驾驶[HK]|5G[HK]|华为概念[HK]|充电桩概念股[HK]|数字经济[HK]|机器人概念[HK],011007_301737|011007_301740|011007_301765|011007_305874|011007_305876|011007_308680|011007_308908|011007_308939|011007_309172
HK_9866_HK_2022,9866.HK,蔚来-SW,4,腾讯概念[HK]|新能源汽车[HK]|知名公司[HK]|回港中概股[HK],011007_301758|011007_301765|011007_308392|011007_308804
HK_6613_HK_2025,6613.HK,蓝思科技,1,次新股[HK],011007_301740
HK_9696_HK_2022,9696.HK,天齐锂业,6,新能源汽车[HK]|锂电池[HK]|特斯拉[HK]|知名公司[HK]|比亚迪概念[HK]|固态电池[HK],011007_301765|011007_305798|011007_305844|011007_308392|011007_308974|011007_309176
HK_9927_HK_2025,9927.HK,赛力斯,1,次新股[HK],011007_301740
HK_2579_HK_2025,2579.HK,中伟新材,1,次新股[HK],011007_301740
HK_6655_HK_2022,6655.HK,华新建材,2,一带一路[HK]|高股息概念[HK],011007_305842|011007_308900
HK_2602_HK_2022,2602.HK,万物云,2,物业管理[HK]|房地产服务[HK],011007_308665|011007_308958
HK_1698_HK_2022,1698.HK,腾讯音乐-SW,0,,
HK_9611_HK_2026,9611.HK,龙旗科技,1,次新股[HK],011007_301740
HK_3931_HK_2022,3931.HK,中创新航,2,锂电池[HK]|固态电池[HK],011007_305798|011007_309176
HK_2580_HK_2025,2580.HK,奥克斯电气,1,次新股[HK],011007_301740
HK_3288_HK_2025,3288.HK,海天味业,1,次新股[HK],011007_301740
HK_2050_HK_2025,2050.HK,三花智控,1,次新股[HK],011007_301740
HK_1276_HK_2025,1276.HK,恒瑞医药,1,次新股[HK],011007_301740
HK_6623_HK_2023,6623.HK,陆控,0,,
HK_2245_HK_2022,2245.HK,力勤资源,1,金属镍[HK],011007_308863
HK_0501_HK_2026,0501.HK,豪威集团,1,次新股[HK],011007_301740
HK_2097_HK_2025,2097.HK,蜜雪集团,3,餐饮连锁[HK]|零售股[HK]|非酒精饮料[HK],011007_302023|011007_306256|011007_308789
HK_2585_HK_2024,2585.HK,梦金园,0,,
HK_1828_HK_2025,1828.HK,富卫集团,1,次新股[HK],011007_301740
HK_2865_HK_2025,2865.HK,钧达股份,0,,
HK_2768_HK_2026,2768.HK,国恩科技,1,次新股[HK],011007_301740
HK_7618_HK_2025,7618.HK,京东工业,1,次新股[HK],011007_301740
HK_9885_HK_2023,9885.HK,药师帮,0,,
HK_9863_HK_2022,9863.HK,零跑汽车,1,新能源汽车[HK],011007_301765
HK_0470_HK_2026,0470.HK,先导智能,1,次新股[HK],011007_301740
HK_2419_HK_2023,2419.HK,德康农牧,0,,
HK_2259_HK_2025,2259.HK,紫金黄金国际,1,次新股[HK],011007_301740
HK_3660_HK_2022,3660.HK,奇富科技-S,0,,
HK_2648_HK_2025,2648.HK,安井食品,1,次新股[HK],011007_301740
HK_2788_HK_2025,2788.HK,创新实业,1,次新股[HK],011007_301740
HK_0666_HK_2023,0666.HK,瑞浦兰钧,1,固态电池[HK],011007_309176
HK_9690_HK_2023,9690.HK,途虎-W,0,,
HK_2460_HK_2024,2460.HK,华润饮料,2,零售股[HK]|非酒精饮料[HK],011007_306256|011007_308789
HK_7489_HK_2026,7489.HK,岚图汽车,1,次新股[HK],011007_301740
HK_9896_HK_2022,9896.HK,名创优品,5,零售股[HK]|知名公司[HK]|回港中概股[HK]|双重主要上市中概股[HK]|IP经济(谷子经济)[HK],011007_306256|011007_308392|011007_308804|011007_309018|011007_309175
HK_2411_HK_2023,2411.HK,百果园集团,0,,
HK_9980_HK_2026,9980.HK,东鹏饮料,1,次新股[HK],011007_301740
HK_2520_HK_2023,2520.HK,山西安装,0,,
HK_2643_HK_2025,2643.HK,曹操出行,1,次新股[HK],011007_301740
HK_1768_HK_2026,1768.HK,鸣鸣很忙,1,次新股[HK],011007_301740
HK_9930_HK_2023,9930.HK,宏信建发,0,,
HK_9638_HK_2022,9638.HK,法拉帝,0,,
HK_2465_HK_2024,2465.HK,龙蟠科技,3,数据中心[HK]|比亚迪概念[HK]|固态电池[HK],011007_308847|011007_308974|011007_309176
HK_2519_HK_2024,2519.HK,傲基股份,0,,
HK_2476_HK_2026,2476.HK,胜宏科技,1,次新股[HK],011007_301740
HK_1364_HK_2025,1364.HK,古茗,2,餐饮连锁[HK]|非酒精饮料[HK],011007_302023|011007_308789
HK_2507_HK_2024,2507.HK,西锐,0,,
HK_6693_HK_2025,6693.HK,赤峰黄金,0,,
HK_3896_HK_2022,3896.HK,金山云,5,人工智能[HK]|云计算[HK]|数字经济[HK]|AIGC概念[HK]|DeepSeek概念[HK],011007_305848|011007_305884|011007_308939|011007_309047|011007_309186
HK_6979_HK_2023,6979.HK,珍酒李渡,0,,
HK_2603_HK_2025,2603.HK,吉宏股份,1,次新股[HK],011007_301740
