ipo_id,stock_code,source,l1_name,l2_name,l3_name,l4_name,leaf_bid,leaf_level,data_date
HK_0068_HK_2026,0068.HK,ths_global,信息技术,软件与服务,软件,应用软件,011003008001057141,6,2026-05-09
HK_0100_HK_2026,0100.HK,ths_global,信息技术,软件与服务,信息技术服务,互联网服务和基础设施,011003008001056141,6,2026-05-09
HK_0300_HK_2024,0300.HK,sw,家用电器,白色家电,空调,,011008007001001,5,2026-05-09
HK_0300_HK_2024,0300.HK,ths_global,非日常生活消费品,耐用消费品与服装,家庭耐用消费品,家用电器,011003004002024057,6,2026-05-09
HK_0314_HK_2022,0314.HK,sw,计算机,软件开发,垂直应用软件,,011008025003001,5,2026-05-09
HK_0314_HK_2022,0314.HK,ths_global,医疗保健,医疗保健设备与服务,医疗保健提供商与服务,保健护理产品经销商,011003006001041101,6,2026-05-09
HK_0325_HK_2025,0325.HK,sw,轻工制造,文娱用品,娱乐用品,,011008010004002,5,2026-05-09
HK_0325_HK_2025,0325.HK,ths_global,非日常生活消费品,耐用消费品与服装,休闲设备与用品,消闲用品,011003004002025059,6,2026-05-09
HK_0470_HK_2026,0470.HK,sw,电力设备,电池,锂电专用设备,,011008022005003,5,2026-05-09
HK_0470_HK_2026,0470.HK,ths_global,工业,资本品,电气设备,重型电气设备,011003003001011027,6,2026-05-09
HK_0501_HK_2026,0501.HK,sw,电子,半导体,数字芯片设计,,011008005001003,5,2026-05-09
HK_0501_HK_2026,0501.HK,ths_global,信息技术,半导体产品与设备Ⅱ,半导体产品与设备Ⅲ,半导体产品,011003008003063156,6,2026-05-09
HK_0587_HK_2022,0587.HK,sw,环保,环境治理,固废治理,,011008030001003,5,2026-05-09
HK_0587_HK_2022,0587.HK,ths_global,工业,商业和专业服务,商业服务与商业用品,环境与设施服务,011003003002015036,6,2026-05-09
HK_0600_HK_2026,0600.HK,ths_global,信息技术,半导体产品与设备Ⅱ,半导体产品与设备Ⅲ,半导体产品,011003008003063156,6,2026-05-09
HK_0638_HK_2025,0638.HK,sw,通信,通信设备,通信终端及配件,,011008027002003,5,2026-05-09
HK_0638_HK_2025,0638.HK,ths_global,信息技术,技术硬件与设备,通信设备Ⅲ,通信设备Ⅳ,011003008002058145,6,2026-05-09
HK_0664_HK_2026,0664.HK,ths_global,多品类零售,,,,161004_25503030,6,2026-05-09
HK_0666_HK_2023,0666.HK,sw,电力设备,电池,蓄电池及其他电池,,011008022005005,5,2026-05-09
HK_0666_HK_2023,0666.HK,ths_global,信息技术,技术硬件与设备,电子设备、仪器和元件,电子元件,011003008002060149,6,2026-05-09
HK_0699_HK_2025,0699.HK,sw,汽车,汽车零部件,汽车电子电气系统,,011008006001005,5,2026-05-09
