thscode,name,listing_date,d1_open,d30_close,return_d30,n_days,status
2250.HK,小黄鸭德盈,2022-02-06,1.95,1.72,-0.1179487179487179,43,ok
9866.HK,蔚来-SW,2022-02-28,160.0,130.9,-0.181875,34,ok
1406.HK,清晰医疗,2022-03-14,0.92,1.32,0.4347826086956521,40,ok
2157.HK,乐普生物-B,2022-03-17,7.1,6.51,-0.0830985915492957,38,ok
7836.HK,Aquila Acq-Z,2022-03-17,9.7,9.18,-0.0536082474226803,37,ok
6655.HK,华新建材,2022-03-22,14.74,13.82,-0.062415196743555,35,ok
0587.HK,海螺环保,2022-03-22,10.0,6.28,-0.372,33,ok
6639.HK,瑞尔集团,2022-04-13,12.74,12.88,0.01098901098901095,38,ok
2179.HK,瑞科生物-B,2022-04-24,24.8,22.9,-0.0766129032258065,41,ok
9638.HK,法拉帝,2022-04-24,21.0,22.5,0.0714285714285714,41,ok
2423.HK,贝壳-W,2022-05-05,30.0,46.0,0.5333333333333334,37,ok
2390.HK,知乎-W,2022-05-15,20.95,32.0,0.5274463007159904,42,ok
2352.HK,东原仁知服务,2022-05-23,11.56,10.02,-0.13321799307958482,43,ok
7827.HK,VISION DEAL-Z,2022-06-09,10.0,9.85,-0.015000000000000013,41,ok
6667.HK,美因基因,2022-06-21,19.48,17.72,-0.09034907597535946,42,ok
6638.HK,金融壹账通,2022-06-28,5.3,3.49,-0.3415094339622641,40,ok
2246.HK,快狗打车,2022-07-18,8.9,6.95,-0.2191011235955056,44,ok
2167.HK,天润云,2022-07-24,12.8,7.29,-0.43046875000000007,43,ok
2391.HK,涂鸦智能-W,2022-07-27,16.9,9.74,-0.42366863905325436,42,ok
9955.HK,智云健康,2022-07-28,27.3,15.48,-0.432967032967033,42,ok
2392.HK,玄武云,2022-07-31,5.95,6.59,0.10756302521008387,43,ok
2297.HK,润迈德-B,2022-08-01,4.97,3.08,-0.380281690140845,44,ok
2385.HK,读书郎,2022-08-04,7.26,6.53,-0.10055096418732778,42,ok
6661.HK,湖州燃气,2022-08-04,6.03,5.4,-0.10447761194029848,42,ok
1204.HK,博维智慧,2022-08-05,0.9,1.07,0.18888888888888888,41,ok
9896.HK,名创优品,2022-08-05,13.36,10.64,-0.20359281437125742,41,ok
9696.HK,天齐锂业,2022-08-05,79.45,79.1,-0.00440528634361248,41,ok
6686.HK,诺亚控股,2022-08-05,273.8,235.0,-0.14170927684441204,41,ok
2172.HK,微创脑科学,2022-08-07,22.0,22.3,0.013636363636363669,42,ok
2418.HK,德银天下,2022-08-08,1.7,1.06,-0.3764705882352941,43,ok
7841.HK,汇德收购-Z,2022-08-12,10.0,10.0,0.0,3,partial_3d
9857.HK,柠萌影视,2022-09-02,27.75,22.4,-0.19279279279279282,41,ok
7801.HK,Interra Acq-Z,2022-09-15,9.78,10.0,0.02249488752556239,41,ok
1698.HK,腾讯音乐-SW,2022-09-15,18.0,14.86,-0.1744444444444445,38,ok
1880.HK,中国中免,2022-09-19,181.0,155.3,-0.14198895027624303,44,ok
2315.HK,百奥赛图-B,2022-09-23,25.35,25.85,0.019723865877712132,42,ok
