ipo_id,stock_code,stock_code_normalized,company_name_zh,listing_date,db_chapter,inferred_chapter,ifind_block_hits,status
HK_2390_HK_2022,2390.HK,2390.HK,知乎-W,2022-04-22,18a,main_board,main_board,MISMATCH
HK_2423_HK_2022,2423.HK,2423.HK,贝壳-W,2022-05-11,18a,main_board,main_board,MISMATCH
HK_2391_HK_2022,2391.HK,2391.HK,涂鸦智能-W,2022-07-05,18a,main_board,main_board,MISMATCH
HK_2562_HK_2022,2562.HK,2562.HK,狮腾控股,2022-08-15,main_board_profitable,de_spac,de_spac|main_board,MISMATCH
HK_2076_HK_2022,2076.HK,2076.HK,BOSS直聘-W,2022-12-22,18a,main_board,main_board,MISMATCH
HK_9690_HK_2023,9690.HK,9690.HK,途虎-W,2023-09-26,18a,main_board,main_board,MISMATCH
HK_1519_HK_2023,1519.HK,1519.HK,极兔速递-W,2023-10-27,18a,main_board,main_board,MISMATCH
HK_9660_HK_2024,9660.HK,9660.HK,地平线机器人-W,2024-10-24,18a,main_board,main_board,MISMATCH
HK_6676_HK_2025,6676.HK,6676.HK,找钢网-W,2025-03-10,18a,de_spac,de_spac|main_board,MISMATCH
HK_2590_HK_2025,2590.HK,2590.HK,极智嘉-W,2025-07-09,18a,main_board,main_board,MISMATCH
HK_2525_HK_2025,2525.HK,2525.HK,禾赛-W,2025-09-16,18a,main_board,main_board,MISMATCH
HK_2718_HK_2025,2718.HK,2718.HK,明略科技-W,2025-11-03,18a,main_board,main_board,MISMATCH
HK_2026_HK_2025,2026.HK,2026.HK,小马智行-W,2025-11-06,18a,main_board,main_board,MISMATCH
HK_2665_HK_2025,2665.HK,2665.HK,图达通,2025-12-10,main_board_profitable,de_spac,de_spac|main_board,MISMATCH
HK_3696_HK_2025,3696.HK,3696.HK,英矽智能,2025-12-30,main_board_profitable,18a,18a|main_board,MISMATCH
HK_6810_HK_2026,6810.HK,6810.HK,商米科技-W,2026-04-29,18a,main_board,main_board,MISMATCH
