view,agg,window,pool,n_obs,ic,t_stat,ls_spread,ls_t_stat
chapter,mean,d1_close,all,361,0.0003485206278206192,0.006603523662004501,0.04571099689193271,1.1599416300011116
chapter,mean,d1_close,main_profitable,266,-0.07893378018807118,-1.2865362947145094,-0.028158063379417717,-0.6405550324277809
chapter,mean,d1_close,main_all,314,-0.07267798220169396,-1.2871530475605668,-0.03413085372871468,-0.9733882905718447
chapter,median,d1_close,all,361,0.0071312802934421935,0.1351219096069736,0.02508694190100701,0.8537153714916952
chapter,median,d1_close,main_profitable,266,-0.0732059053856579,-1.1926552488477438,0.01766918853152991,0.49094641978753456
chapter,median,d1_close,main_all,314,-0.04346938420302041,-0.7685488760385275,0.005716752876130839,0.18182957253980211
chapter,top3_recent_mean,d1_close,all,361,0.025225431987889867,0.47810584842807696,0.04279855657227918,1.0441609083286691
chapter,top3_recent_mean,d1_close,main_profitable,266,-0.010788089591740019,-0.17529590932984387,-0.03124494858245937,-0.7652248162934823
chapter,top3_recent_mean,d1_close,main_all,314,0.0004125658842680072,0.007287367083113881,-0.004814660798456742,-0.1334152544950689
chapter,n_peers,d1_close,all,361,-0.07266880078219289,-1.3805271666614982,-0.009343340404472773,-0.27145764832424263
chapter,n_peers,d1_close,main_profitable,266,0.016899873634255616,0.27462966557989044,0.05982164874056473,1.5798387698057714
chapter,n_peers,d1_close,main_all,314,-0.023780222843221118,-0.4201613001959876,0.03519363534821422,1.1493807474333102
chapter,mean,d30,all,347,0.0852580234284993,1.5893845990875426,0.14795425956485175,1.6945270857386432
chapter,mean,d30,main_profitable,258,0.0008696862050823539,0.01391498454364643,0.0014651499738379536,0.01694088813220171
chapter,mean,d30,main_all,303,0.044804923435516404,0.7781177896514885,0.016131909176358053,0.23789078604877026
chapter,median,d30,all,347,0.10894261997086535,2.0356353765678716,0.1268601769703752,1.5179387865097607
chapter,median,d30,main_profitable,258,0.040192892915647135,0.6436063597213015,0.04377851361329273,0.4864384907339702
chapter,median,d30,main_all,303,0.07776146355143414,1.353208494798776,0.01849741955740061,0.27410079729812015
chapter,top3_recent_mean,d30,all,347,-0.05622639427608056,-1.0460136683699675,-0.07501289409192183,-0.9750985796842777
chapter,top3_recent_mean,d30,main_profitable,258,-0.10661702837604232,-1.715651391508636,-0.1378566845383828,-1.65503675650456
chapter,top3_recent_mean,d30,main_all,303,-0.09917457444704783,-1.7291391291661111,-0.11244512979940512,-1.5678754005225204
chapter,n_peers,d30,all,347,-0.04518131621637616,-0.8400635726664175,-0.08583919376971785,-0.9773867290017748
chapter,n_peers,d30,main_profitable,258,0.07412358067512333,1.1892488387588436,0.08911976226475986,1.0640767842884284
chapter,n_peers,d30,main_all,303,0.018572064760518835,0.32226886450275544,0.04892653776107607,0.6980342859317786
chapter,mean,m3,all,307,0.042375010578981215,0.7407130708376418,0.03417688276684966,0.3309346525867191
chapter,mean,m3,main_profitable,242,0.07654633876936774,1.1893402758156892,0.05454536700415284,0.46086209158048924
chapter,mean,m3,main_all,274,0.05113376722293374,0.844424357941305,0.06517398475212782,0.6345116840586953
chapter,median,m3,all,307,0.0624481755760331,1.0927433078458044,0.1934895820591256,1.2632494029776944
chapter,median,m3,main_profitable,242,0.021207509277262945,0.3286192289301104,-0.004920455050774361,-0.048517928899867405
chapter,median,m3,main_all,274,0.05159875089358772,0.8521235164554364,0.050563858316960905,0.537135798863073
chapter,top3_recent_mean,m3,all,307,0.05030789783711963,0.879703583749686,0.030228512088776666,0.32310347825640967
chapter,top3_recent_mean,m3,main_profitable,242,0.03819764981548507,0.5921876228691659,0.061586877218446745,0.5757027920284287
chapter,top3_recent_mean,m3,main_all,274,0.04316621767611029,0.7125796921261149,0.04239135947809648,0.4377009611514119
chapter,n_peers,m3,all,307,0.02401034123070764,0.41944350383103546,0.07403540151587987,0.7731950832790131
chapter,n_peers,m3,main_profitable,242,0.1067588268430608,1.6634070958677354,0.10859801273465441,0.9503176823070335
chapter,n_peers,m3,main_all,274,0.053342565234406565,0.8810024311586155,0.07920173587481777,0.7554106573156065
chapter,mean,m6,all,242,0.08590478187414512,1.3357690266396804,-0.10915795238261608,-0.5205208231057395
chapter,mean,m6,main_profitable,198,0.10345988168295112,1.4562531404195602,0.17647732540182826,0.8864577403945105
chapter,mean,m6,main_all,219,0.08873085797498073,1.3122631987082898,0.1096280735143054,0.5959989579602857
chapter,median,m6,all,242,0.07053598238377319,1.09546729120829,-0.01075129269263788,-0.05206210272648538
chapter,median,m6,main_profitable,198,0.08038838930056426,1.1290916238864261,0.06674220479116738,0.2645554387950681
chapter,median,m6,main_all,219,0.13125296170689746,1.9503495110860207,0.02045148590877488,0.09072685313460471
chapter,top3_recent_mean,m6,all,242,0.03969867054595099,0.6154943555694908,-0.04645019476137638,-0.21747458615224846
chapter,top3_recent_mean,m6,main_profitable,198,0.047749584473522684,0.6692575792938387,-0.016855573045275185,-0.06586304639778484
chapter,top3_recent_mean,m6,main_all,219,0.06322400409069119,0.9332147631559553,0.012299997226513093,0.05271118463959189
chapter,n_peers,m6,all,242,0.03851824588271218,0.5971652574393519,0.10002136156398078,0.6565957665804966
chapter,n_peers,m6,main_profitable,198,0.13314997650644186,1.8808469194247446,0.2768441966313207,1.6027278541077
chapter,n_peers,m6,main_all,219,0.021203234762048263,0.3124133869660167,0.0748440370428645,0.45486579558007867
chapter,mean,m12,all,137,0.21304068291871261,2.533469065983764,0.341366020274095,1.3540952416362135
chapter,mean,m12,main_profitable,121,0.2016666520611297,2.246070734378003,0.381747824393621,1.4021384075738816
chapter,mean,m12,main_all,127,0.15574985646066764,1.7628492123385733,0.21603333541969266,0.7721540862235627
chapter,median,m12,all,137,-0.07651295649944413,-0.8916139073366551,-0.40620142494906264,-0.6103706326082825
