ipo_id,stock_code,company_name_zh,listing_chapter,db_l1,db_l2,db_l3,inferred_l1,inferred_l2,inferred_l3,inferred_bids,n_hits,status
HK_2260_HK_2022,2260.HK,环龙控股,main_board_profitable,工业,工业工程,工业零件及器材,工业,工业工程,工业零件及器材,011002018001002,1,OK
HK_6680_HK_2022,6680.HK,金力永磁,a_plus_h,原材料业,一般金属及矿石,其他金属及矿物,原材料业,一般金属及矿石,其他金属及矿物,011002009005004,1,OK
HK_2250_HK_2022,2250.HK,小黄鸭德盈,main_board_profitable,非必需性消费,媒体及娱乐,广告及宣传,非必需性消费,媒体及娱乐,广告及宣传,011002020005001,1,OK
HK_2121_HK_2022,2121.HK,创新奇智,main_board_profitable,资讯科技业,软件服务,数码解决方案服务,资讯科技业,半导体,数码解决方案服务,011002HS702015,1,OK
HK_9878_HK_2022,9878.HK,汇通达网络,main_board_profitable,非必需性消费,专业零售,线上零售商,非必需性消费,专业零售,线上零售商,011002HS237060,1,OK
HK_1406_HK_2022,1406.HK,清晰医疗,main_board_profitable,医疗保健业,其他医疗保健,医疗及医学美容服务,医疗保健业,其他医疗保健,医疗及医学美容服务,011002022002002,1,OK
HK_2157_HK_2022,2157.HK,乐普生物-B,18a,医疗保健业,药品及生物科技,生物技术,医疗保健业,药品及生物科技,生物技术,011002022001002,1,OK
HK_9866_HK_2022,9866.HK,蔚来-SW,secondary,非必需性消费,汽车,汽车Ⅲ,非必需性消费,汽车,汽车,011002020001001,1,MISMATCH
HK_0816_HK_2022,0816.HK,金茂服务,main_board_profitable,地产建筑业,地产,物业服务及管理,地产建筑业,地产,物业服务及管理,011002004001005,1,OK
HK_6639_HK_2022,6639.HK,瑞尔集团,main_board_profitable,医疗保健业,其他医疗保健,医疗及医学美容服务,医疗保健业,其他医疗保健,医疗及医学美容服务,011002022002002,1,OK
HK_6655_HK_2022,6655.HK,华新建材,a_plus_h,地产建筑业,建筑,建筑材料,地产建筑业,建筑,建筑材料,011002004002001,1,OK
HK_0587_HK_2022,0587.HK,海螺环保,main_board_profitable,工业,工业工程,环保工程,工业,工业工程,环保工程,011002018001003,1,OK
HK_9638_HK_2022,9638.HK,法拉帝,main_board_profitable,工业,工业工程,商用运输工具及货车,工业,工业工程,商业用车及货车,011002018001001,1,MISMATCH
HK_2370_HK_2022,2370.HK,力高健康生活,main_board_profitable,地产建筑业,地产,物业服务及管理,地产建筑业,地产,物业服务及管理,011002004001005,1,OK
HK_2179_HK_2022,2179.HK,瑞科生物-B,18a,医疗保健业,药品及生物科技,生物技术,医疗保健业,药品及生物科技,生物技术,011002022001002,1,OK
HK_2390_HK_2022,2390.HK,知乎-W,main_board_unprofitable,非必需性消费,媒体及娱乐,广告及宣传,非必需性消费,媒体及娱乐,广告及宣传,011002020005001,1,OK
HK_2352_HK_2022,2352.HK,东原仁知服务,main_board_profitable,地产建筑业,地产,物业服务及管理,地产建筑业,地产,物业服务及管理,011002004001005,1,OK
HK_2423_HK_2022,2423.HK,贝壳-W,main_board_unprofitable,地产建筑业,地产,地产代理,地产建筑业,地产,地产代理,011002004001001,1,OK
HK_2325_HK_2022,2325.HK,云康集团,main_board_profitable,医疗保健业,药品及生物科技,生物技术,医疗保健业,药品及生物科技,生物技术,011002022001002,1,OK
HK_2347_HK_2022,2347.HK,友和集团,main_board_profitable,非必需性消费,专业零售,线上零售商,非必需性消费,专业零售,线上零售商,011002HS237060,1,OK
HK_6667_HK_2022,6667.HK,美因基因,main_board_profitable,医疗保健业,药品及生物科技,生物技术,医疗保健业,药品及生物科技,生物技术,011002022001002,1,OK
HK_2246_HK_2022,2246.HK,快狗打车,main_board_profitable,工业,工用支援,采购及供应链管理,工业,工用支援,采购及供应链管理,011002018003001,1,OK
HK_2167_HK_2022,2167.HK,天润云,main_board_profitable,资讯科技业,软件服务,应用软件,资讯科技业,软件服务,应用软件,011002005001003,1,OK
HK_2372_HK_2022,2372.HK,伟立控股,main_board_profitable,工业,工用支援,印刷及包装,工业,工用支援,印刷及包装,011002018003002,1,OK
HK_2391_HK_2022,2391.HK,涂鸦智能-W,main_board_unprofitable,资讯科技业,软件服务,应用软件,资讯科技业,软件服务,应用软件,011002005001003,1,OK
HK_9955_HK_2022,9955.HK,智云健康,main_board_profitable,医疗保健业,其他医疗保健,医疗设备及用品,医疗保健业,其他医疗保健,医疗设备及用品,011002022002001,1,OK
HK_2392_HK_2022,2392.HK,玄武云,main_board_profitable,资讯科技业,软件服务,应用软件,资讯科技业,软件服务,应用软件,011002005001003,1,OK
HK_2376_HK_2022,2376.HK,鲁商服务,main_board_profitable,地产建筑业,地产,物业服务及管理,地产建筑业,地产,物业服务及管理,011002004001005,1,OK
HK_2297_HK_2022,2297.HK,润迈德-B,18a,医疗保健业,其他医疗保健,医疗设备及用品,医疗保健业,其他医疗保健,医疗设备及用品,011002022002001,1,OK
HK_2361_HK_2022,2361.HK,中康科技控股,main_board_profitable,资讯科技业,软件服务,数码解决方案服务,资讯科技业,半导体,数码解决方案服务,011002HS702015,1,OK
HK_2385_HK_2022,2385.HK,读书郎,main_board_profitable,非必需性消费,支援服务,教育,非必需性消费,支援服务,教育,011002020006001,1,OK
HK_9696_HK_2022,9696.HK,天齐锂业,a_plus_h,原材料业,一般金属及矿石,其他金属及矿物,原材料业,一般金属及矿石,其他金属及矿物,011002009005004,1,OK
HK_9896_HK_2022,9896.HK,名创优品,main_board_profitable,非必需性消费,专业零售,多元化零售商,非必需性消费,专业零售,多元化零售商,011002020007004,1,OK
HK_6686_HK_2022,6686.HK,诺亚控股,main_board_profitable,金融业,其他金融,投资及资产管理,金融业,其他金融,投资及资产管理,011002003003002,1,OK
HK_6661_HK_2022,6661.HK,湖州燃气,main_board_profitable,公用事业,公用事业Ⅱ,燃气供应,公用事业,公用事业,燃气供应,011002002001002,1,OK
HK_2418_HK_2022,2418.HK,德银天下,main_board_profitable,工业,工用支援,采购及供应链管理,工业,工用支援,采购及供应链管理,011002018003001,1,OK
HK_2172_HK_2022,2172.HK,微创脑科学,main_board_profitable,医疗保健业,其他医疗保健,医疗设备及用品,医疗保健业,其他医疗保健,医疗设备及用品,011002022002001,1,OK
HK_1204_HK_2022,1204.HK,博维智慧,main_board_profitable,资讯科技业,软件服务,数码解决方案服务,资讯科技业,半导体,数码解决方案服务,011002HS702015,1,OK
