ipo_id,stock_code,stock_code_normalized,company_name_zh,listing_date,db_chapter,inferred_chapter,ifind_block_hits,status
HK_2260_HK_2022,2260.HK,2260.HK,环龙控股,2022-01-11,main_board_profitable,main_board,main_board,OK
HK_6680_HK_2022,6680.HK,6680.HK,金力永磁,2022-01-14,a_plus_h,a_plus_h,a_plus_h|main_board,OK
HK_2250_HK_2022,2250.HK,2250.HK,小黄鸭德盈,2022-01-17,main_board_profitable,main_board,main_board,OK
HK_2121_HK_2022,2121.HK,2121.HK,创新奇智,2022-01-27,main_board_profitable,main_board,main_board,OK
HK_9878_HK_2022,9878.HK,9878.HK,汇通达网络,2022-02-18,main_board_profitable,main_board,main_board,OK
HK_1406_HK_2022,1406.HK,1406.HK,清晰医疗,2022-02-18,main_board_profitable,main_board,main_board,OK
HK_2157_HK_2022,2157.HK,2157.HK,乐普生物-B,2022-02-23,18a,18a,18a|main_board,OK
HK_9866_HK_2022,9866.HK,9866.HK,蔚来-SW,2022-03-10,secondary,secondary,secondary|main_board,OK
HK_0816_HK_2022,0816.HK,816.HK,金茂服务,2022-03-10,main_board_profitable,main_board,main_board,OK
HK_6639_HK_2022,6639.HK,6639.HK,瑞尔集团,2022-03-22,main_board_profitable,main_board,main_board,OK
HK_6655_HK_2022,6655.HK,6655.HK,华新建材,2022-03-28,a_plus_h,a_plus_h,a_plus_h|main_board,OK
HK_0587_HK_2022,0587.HK,587.HK,海螺环保,2022-03-30,main_board_profitable,main_board,main_board,OK
HK_9638_HK_2022,9638.HK,9638.HK,法拉帝,2022-03-31,main_board_profitable,main_board,main_board,OK
HK_2370_HK_2022,2370.HK,2370.HK,力高健康生活,2022-03-31,main_board_profitable,main_board,main_board,OK
HK_2179_HK_2022,2179.HK,2179.HK,瑞科生物-B,2022-03-31,18a,18a,18a|main_board,OK
HK_2390_HK_2022,2390.HK,2390.HK,知乎-W,2022-04-22,18a,main_board,main_board,MISMATCH
HK_2352_HK_2022,2352.HK,2352.HK,东原仁知服务,2022-04-29,main_board_profitable,main_board,main_board,OK
HK_2423_HK_2022,2423.HK,2423.HK,贝壳-W,2022-05-11,18a,main_board,main_board,MISMATCH
HK_2325_HK_2022,2325.HK,2325.HK,云康集团,2022-05-18,main_board_profitable,main_board,main_board,OK
HK_2347_HK_2022,2347.HK,2347.HK,友和集团,2022-06-10,main_board_profitable,main_board,main_board,OK
HK_6667_HK_2022,6667.HK,6667.HK,美因基因,2022-06-22,main_board_profitable,main_board,main_board,OK
HK_2246_HK_2022,2246.HK,2246.HK,快狗打车,2022-06-24,main_board_profitable,main_board,main_board,OK
HK_2167_HK_2022,2167.HK,2167.HK,天润云,2022-06-30,main_board_profitable,main_board,main_board,OK
HK_2372_HK_2022,2372.HK,2372.HK,伟立控股,2022-06-30,main_board_profitable,main_board,main_board,OK
HK_2391_HK_2022,2391.HK,2391.HK,涂鸦智能-W,2022-07-05,18a,main_board,main_board,MISMATCH
HK_9955_HK_2022,9955.HK,9955.HK,智云健康,2022-07-06,main_board_profitable,main_board,main_board,OK
HK_2392_HK_2022,2392.HK,2392.HK,玄武云,2022-07-08,main_board_profitable,main_board,main_board,OK
HK_2376_HK_2022,2376.HK,2376.HK,鲁商服务,2022-07-08,main_board_profitable,main_board,main_board,OK
HK_2297_HK_2022,2297.HK,2297.HK,润迈德-B,2022-07-08,18a,18a,18a|main_board,OK
HK_2361_HK_2022,2361.HK,2361.HK,中康科技控股,2022-07-12,main_board_profitable,main_board,main_board,OK
HK_2385_HK_2022,2385.HK,2385.HK,读书郎,2022-07-12,main_board_profitable,main_board,main_board,OK
HK_9696_HK_2022,9696.HK,9696.HK,天齐锂业,2022-07-13,a_plus_h,a_plus_h,a_plus_h|main_board,OK
HK_9896_HK_2022,9896.HK,9896.HK,名创优品,2022-07-13,main_board_profitable,main_board,main_board,OK
HK_6686_HK_2022,6686.HK,6686.HK,诺亚控股,2022-07-13,main_board_profitable,main_board,main_board,OK
HK_6661_HK_2022,6661.HK,6661.HK,湖州燃气,2022-07-13,main_board_profitable,main_board,main_board,OK
HK_2418_HK_2022,2418.HK,2418.HK,德银天下,2022-07-15,main_board_profitable,main_board,main_board,OK
HK_2172_HK_2022,2172.HK,2172.HK,微创脑科学,2022-07-15,main_board_profitable,main_board,main_board,OK
HK_1204_HK_2022,1204.HK,1204.HK,博维智慧,2022-07-15,main_board_profitable,main_board,main_board,OK
HK_2237_HK_2022,2237.HK,2237.HK,中国石墨,2022-07-18,main_board_profitable,main_board,main_board,OK
HK_9857_HK_2022,9857.HK,9857.HK,柠萌影视,2022-08-10,main_board_profitable,main_board,main_board,OK
HK_2562_HK_2022,2562.HK,2562.HK,狮腾控股,2022-08-15,main_board_profitable,de_spac,de_spac|main_board,MISMATCH
HK_2321_HK_2022,2321.HK,2321.HK,双财庄,2022-08-19,main_board_profitable,main_board,main_board,OK
HK_2152_HK_2022,2152.HK,2152.HK,苏新服务,2022-08-24,main_board_profitable,main_board,main_board,OK
HK_1880_HK_2022,1880.HK,1880.HK,中国中免,2022-08-25,a_plus_h,a_plus_h,a_plus_h|main_board,OK
HK_2315_HK_2022,2315.HK,2315.HK,百奥赛图-B,2022-09-01,18a,18a,18a|a_plus_h|main_board,OK
HK_9886_HK_2022,9886.HK,9886.HK,叮当健康,2022-09-14,main_board_profitable,main_board,main_board,OK
HK_1698_HK_2022,1698.HK,1698.HK,腾讯音乐-SW,2022-09-21,secondary,secondary,secondary|main_board,OK
HK_2350_HK_2022,2350.HK,2350.HK,数科集团,2022-09-26,main_board_profitable,main_board,main_board,OK
HK_2602_HK_2022,2602.HK,2602.HK,万物云,2022-09-29,main_board_profitable,main_board,main_board,OK
HK_9863_HK_2022,9863.HK,9863.HK,零跑汽车,2022-09-29,main_board_profitable,main_board,main_board,OK
