ipo_id,stock_code,company_name_zh,listing_chapter,db_l1,db_l2,db_l3,inferred_l1,inferred_l2,inferred_l3,inferred_bids,n_hits,status
HK_9866_HK_2022,9866.HK,蔚来-SW,secondary,非必需性消费,汽车,汽车Ⅲ,非必需性消费,汽车,汽车,011002020001001,1,MISMATCH
HK_9638_HK_2022,9638.HK,法拉帝,main_board_profitable,工业,工业工程,商用运输工具及货车,工业,工业工程,商业用车及货车,011002018001001,1,MISMATCH
HK_9863_HK_2022,9863.HK,零跑汽车,main_board_profitable,非必需性消费,汽车,汽车Ⅲ,非必需性消费,汽车,汽车,011002020001001,1,MISMATCH
HK_6963_HK_2022,6963.HK,阳光保险,main_board_profitable,金融业,保险,保险Ⅲ,金融业,保险,保险,011002003001001,1,MISMATCH
HK_2473_HK_2023,2473.HK,喜相逢集团,main_board_profitable,非必需性消费,汽车,汽车Ⅲ,非必需性消费,汽车,汽车,011002020001001,1,MISMATCH
HK_2489_HK_2023,2489.HK,集海黄金,main_board_profitable,原材料业,黄金及贵金属,黄金及贵金属Ⅲ,原材料业,黄金及贵金属,黄金及贵金属,011002009004001,1,MISMATCH
HK_2149_HK_2023,2149.HK,贝克微,main_board_profitable,资讯科技业,半导体,半导体Ⅲ,资讯科技业,半导体,半导体,011002005003001,1,MISMATCH
HK_1471_HK_2024,1471.HK,众淼控股,main_board_profitable,金融业,保险,保险Ⅲ,金融业,保险,保险,011002003001001,1,MISMATCH
HK_2577_HK_2024,2577.HK,英诺赛科,main_board_profitable,资讯科技业,半导体,半导体Ⅲ,资讯科技业,半导体,半导体,011002005003001,1,MISMATCH
HK_2613_HK_2025,2613.HK,汇舸环保,main_board_profitable,工业,工业工程,商用运输工具及货车,工业,工业工程,商业用车及货车,011002018001001,1,MISMATCH
HK_2596_HK_2025,2596.HK,宜宾银行,main_board_profitable,金融业,银行,银行Ⅲ,金融业,银行,银行,011002003002001,1,MISMATCH
HK_0805_HK_2025,0805.HK,新吉奥房车,main_board_profitable,非必需性消费,汽车,汽车Ⅲ,非必需性消费,汽车,汽车,011002020001001,1,MISMATCH
HK_6693_HK_2025,6693.HK,赤峰黄金,a_plus_h,原材料业,黄金及贵金属,黄金及贵金属Ⅲ,原材料业,黄金及贵金属,黄金及贵金属,011002009004001,1,MISMATCH
HK_2621_HK_2025,2621.HK,手回集团,main_board_profitable,金融业,保险,保险Ⅲ,金融业,保险,保险,011002003001001,1,MISMATCH
HK_1828_HK_2025,1828.HK,富卫集团,main_board_profitable,金融业,保险,保险Ⅲ,金融业,保险,保险,011002003001001,1,MISMATCH
HK_1304_HK_2025,1304.HK,峰岹科技,a_plus_h,资讯科技业,半导体,半导体Ⅲ,资讯科技业,半导体,半导体,011002005003001,1,MISMATCH
HK_9973_HK_2025,9973.HK,奇瑞汽车,main_board_profitable,非必需性消费,汽车,汽车Ⅲ,非必需性消费,汽车,汽车,011002020001001,1,MISMATCH
HK_2259_HK_2025,2259.HK,紫金黄金国际,main_board_profitable,原材料业,黄金及贵金属,黄金及贵金属Ⅲ,原材料业,黄金及贵金属,黄金及贵金属,011002009004001,1,MISMATCH
HK_9927_HK_2025,9927.HK,赛力斯,a_plus_h,非必需性消费,汽车,汽车Ⅲ,非必需性消费,汽车,汽车,011002020001001,1,MISMATCH
HK_2676_HK_2025,2676.HK,纳芯微,a_plus_h,资讯科技业,半导体,半导体Ⅲ,资讯科技业,半导体,半导体,011002005003001,1,MISMATCH
HK_3887_HK_2025,3887.HK,HASHKEY HLDGS,main_board_profitable,金融业,其他金融,其他金融Ⅲ,金融业,其他金融,其他金融,011002003003004,1,MISMATCH
HK_3881_HK_2025,3881.HK,希迪智驾,18c_commercial,工业,工业工程,商用运输工具及货车,工业,工业工程,商业用车及货车,011002018001001,1,MISMATCH
HK_9903_HK_2026,9903.HK,天数智芯,main_board_profitable,资讯科技业,半导体,半导体Ⅲ,资讯科技业,半导体,半导体,011002005003001,1,MISMATCH
HK_0501_HK_2026,0501.HK,豪威集团,a_plus_h,资讯科技业,半导体,半导体Ⅲ,资讯科技业,半导体,半导体,011002005003001,1,MISMATCH
HK_3986_HK_2026,3986.HK,兆易创新,a_plus_h,资讯科技业,半导体,半导体Ⅲ,资讯科技业,半导体,半导体,011002005003001,1,MISMATCH
HK_6809_HK_2026,6809.HK,澜起科技,a_plus_h,资讯科技业,半导体,半导体Ⅲ,资讯科技业,半导体,半导体,011002005003001,1,MISMATCH
HK_0600_HK_2026,0600.HK,爱芯元智,main_board_profitable,资讯科技业,半导体,半导体Ⅲ,资讯科技业,半导体,半导体,011002005003001,1,MISMATCH
HK_7489_HK_2026,7489.HK,岚图汽车,main_board_profitable,非必需性消费,汽车,汽车Ⅲ,非必需性消费,汽车,汽车,011002020001001,1,MISMATCH
HK_2701_HK_2026,2701.HK,国民技术,a_plus_h,资讯科技业,半导体,半导体Ⅲ,资讯科技业,半导体,半导体,011002005003001,1,MISMATCH
HK_3625_HK_2026,3625.HK,傅里叶,18c_commercial,资讯科技业,半导体,半导体Ⅲ,资讯科技业,半导体,半导体,011002005003001,1,MISMATCH
