block_id,l1_name,l2_name,l3_name,member_count,has_name
011002001001001,电讯业,电讯,卫星及无线通讯,7,1
011002001001002,,,,12,0
011002002001001,,,,11,0
011002002001002,公用事业,公用事业,燃气供应,22,1
011002002001003,,,,16,0
011002002001004,公用事业,公用事业,非传统/可再生能源,26,1
011002002001005,,,,1,0
011002003001001,金融业,保险,保险,19,1
011002003002001,金融业,银行,银行,37,1
011002003003001,金融业,其他金融,证券及经纪,46,1
011002003003002,金融业,其他金融,投资及资产管理,44,1
011002003003003,金融业,其他金融,信贷,48,1
011002003003004,金融业,其他金融,其他金融,20,1
011002004001001,地产建筑业,地产,地产代理,5,1
011002004001002,地产建筑业,地产,地产发展商,135,1
011002004001003,地产建筑业,地产,地产投资,55,1
011002004001004,,,,0,0
011002004001005,地产建筑业,地产,物业服务及管理,69,1
011002004002001,地产建筑业,建筑,建筑材料,32,1
011002004002002,地产建筑业,建筑,楼宇建造,130,1
011002004002003,地产建筑业,建筑,重型基建,52,1
011002005001003,资讯科技业,软件服务,应用软件,44,1
011002005001004,资讯科技业,软件服务,游戏软件,27,1
011002005002001,资讯科技业,资讯科技器材,消费性电讯设备,22,1
011002005002002,资讯科技业,资讯科技器材,电脑及周边器材,24,1
011002005003001,资讯科技业,半导体,半导体,25,1
011002005003002,资讯科技业,半导体,半导体设备与材料,9,1
011002006001001,,,,21,0
011002008001001,,,,22,0
011002008002001,能源业,石油及天然气,油气生产商,27,1
011002008002002,能源业,石油及天然气,油气设备与服务,20,1
011002009003001,原材料业,原材料,化肥及农用化合物,10,1
011002009003002,,,,7,0
011002009003003,,,,9,0
011002009003004,原材料业,原材料,特殊化工用品,30,1
011002009004001,原材料业,黄金及贵金属,黄金及贵金属,18,1
011002009005001,原材料业,一般金属及矿石,钢铁,23,1
011002009005002,原材料业,一般金属及矿石,铜,11,1
011002009005003,原材料业,一般金属及矿石,铝,7,1
011002009005004,原材料业,一般金属及矿石,其他金属及矿物,29,1
011002018001001,工业,工业工程,商业用车及货车,15,1
011002018001002,工业,工业工程,工业零件及器材,81,1
011002018001003,工业,工业工程,环保工程,32,1
011002018001004,工业,工业工程,重型机械,20,1
011002018001005,工业,工业工程,新能源物料,18,1
011002018001006,工业,工业工程,航空航天与国防,4,1
011002018001007,工业,工业工程,电子零件,27,1
011002018001008,工业,工业工程,能源储存装置,16,1
011002018002001,工业,工用运输,航运及港口,32,1
011002018002002,,,,13,0
