block_id,block_name,member_count,has_db_name
011008001001001,,0,0
011008001001002,,0,0
011008001001003,其他种植业,1,1
011008001001004,,0,0
011008001002001,,0,0
011008001002002,,0,0
011008001003001,,0,0
011008001004001,,0,0
011008001004002,,0,0
011008001004003,,0,0
011008001005001,,1,0
011008001005002,粮油加工,1,1
011008001005003,,0,0
011008001006001,生猪养殖,2,1
011008001006002,,0,0
011008001006003,,0,0
011008001007001,,0,0
011008001008001,,0,0
011008002001001,,0,0
011008002001002,,0,0
011008002001003,,0,0
011008002001004,,0,0
011008002001005,,0,0
011008002001006,,0,0
011008002002001,,0,0
011008002002002,,0,0
011008002002003,,0,0
011008002002004,,0,0
011008002002005,,1,0
011008002002006,,0,0
011008002002007,,1,0
011008002002008,,0,0
011008002002009,,0,0
011008002003001,,0,0
011008002003002,,0,0
011008002003003,,0,0
011008002003004,,0,0
011008002003005,,0,0
011008002004001,,0,0
011008002004002,改性塑料,1,1
011008002004003,,0,0
011008002004004,,0,0
011008002005001,,0,0
011008002005002,,0,0
011008002005003,,0,0
011008002006001,,0,0
011008002006002,,0,0
011008002006003,,0,0
011008002006004,,0,0
011008002006005,,1,0
011008002007001,非金属材料Ⅲ,2,1
011008003001001,,0,0
011008003001002,,0,0
011008003002001,,1,0
011008003002002,,3,0
011008003002003,,0,0
011008003003001,,1,0
011008004001001,,0,0
011008004001002,磁性材料,1,1
011008004002001,铝,4,1
011008004002002,,7,0
011008004002003,,0,0
011008004003001,黄金,6,1
011008004003002,,0,0
011008004004001,,0,0
011008004004002,钨,1,1
011008004004003,,1,0
011008004004004,,0,0
011008004005001,,0,0
011008004005002,,1,0
011008004005003,锂,2,1
011008005001001,,0,0
011008005001002,半导体材料,1,1
011008005001003,数字芯片设计,6,1
011008005001004,模拟芯片设计,1,1
011008005001005,集成电路制造,4,1
011008005001006,,0,0
011008005001007,,2,0
011008005002001,印制电路板,4,1
011008005002002,,0,0
011008005003001,,1,0
011008005003002,LED,1,1
011008005003003,,2,0
011008005004001,其他电子Ⅲ,1,1
011008005005001,,2,0
011008005005002,消费电子零部件及组装,9,1
011008005006001,,0,0
011008006001001,,2,0
011008006001002,,5,0
011008006001003,,0,0
011008006001004,,0,0
011008006001005,汽车电子电气系统,4,1
011008006002001,汽车经销商,7,1
011008006002002,汽车综合服务,4,1
011008006003001,,0,0
011008006003002,,1,0
011008006004001,电动乘用车,6,1
011008006004002,综合乘用车,6,1
011008006005001,,1,0
011008006005002,,0,0
011008007001001,空调,3,1
011008007001002,,1,0
011008007002001,,2,0
011008007002002,,0,0
011008007003001,,0,0
011008007003002,,1,0
011008007003003,,0,0
011008007004001,,0,0
011008007004002,,0,0
011008007005001,,0,0
011008007006001,家电零部件Ⅲ,1,1
011008007007001,,1,0
011008008001001,,2,0
011008008001002,,0,0
011008008001003,预加工食品,2,1
011008008001004,,0,0
011008008002001,白酒Ⅲ,1,1
011008008003001,,3,0
011008008003002,,0,0
011008008004001,软饮料,8,1
011008008004002,,9,0
011008008005001,零食,1,1
011008008005002,,2,0
011008008005003,,1,0
011008008006001,调味发酵品Ⅲ,3,1
011008009001001,,3,0
011008009001002,,0,0
011008009001003,,0,0
011008009001004,,1,0
011008009001005,,3,0
011008009002001,,4,0
011008009002002,,0,0
011008009002003,,6,0
011008009002004,,8,0
011008009003001,钟表珠宝,8,1
011008009003002,,0,0
011008009003003,,0,0
011008010001001,,3,0
011008010001002,,0,0
011008010002001,,1,0
011008010002002,,0,0
011008010002003,,0,0
011008010002004,,1,0
011008010002005,,0,0
011008010003001,,0,0
011008010003002,,1,0
011008010003003,,0,0
011008010003004,,0,0
011008010003005,其他家居用品,1,1
011008010004001,,1,0
011008010004002,娱乐用品,3,1
011008011001001,,8,0
011008011001002,化学制剂,24,1
011008011002001,,6,0
011008011003001,,0,0
011008011003002,疫苗,4,1
011008011003003,其他生物制品,36,1
011008011004001,,2,0
011008011004002,,0,0
011008011004003,互联网药店,8,1
011008011005001,医疗设备,3,1
011008011005002,医疗耗材,14,1
011008011005003,体外诊断,1,1
011008011006001,诊断服务,3,1
011008011006002,医疗研发外包,10,1
011008011006003,医院,10,1
011008011006004,其他医疗服务,2,1
011008012001001,,7,0
