block_id,block_name,member_count,has_db_name
011003001001001001,,1,0
011003001001001002,石油天然气设备与服务,14,1
011003001001002003,,8,0
011003001001002004,,8,0
011003001001002005,石油与天然气的炼制和营销,10,1
011003001001002006,,4,0
011003001001002007,煤与消费用燃料,25,1
011003002001003008,商品化工,14,1
011003002001003009,多种化学制品,9,1
011003002001003010,化肥与农用药剂,8,1
011003002001003011,,2,0
011003002001003012,,14,0
011003002001004013,建筑材料Ⅳ,23,1
011003002001005014,,8,0
011003002001005015,纸和塑料包装产品和材料,14,1
011003002001006016,铝,7,1
011003002001006017,多种金属与采矿,33,1
011003002001006018,黄金,10,1
011003002001006019,贵重金属与矿石,3,1
0110030020010060191,,0,0
011003002001006020,,15,0
011003002001006021,铜,3,1
011003002001007021,,8,0
011003002001007022,,7,0
011003003001008023,航天航空与国防,3,1
011003003001009024,,9,0
011003003001010025,建筑与工程Ⅳ,147,1
011003003001011026,电气部件与设备,19,1
011003003001011027,重型电气设备,11,1
011003003001012028,,5,0
011003003001013029,建筑机械和重型运输设备,16,1
0110030030010130291,,1,0
011003003001013030,工业机械和用品及零部件,45,1
011003003001014031,贸易公司与经销商Ⅳ,58,1
011003003002015032,,15,0
011003003002015036,环境与设施服务,32,1
011003003002015037,,2,0
011003003002015038,综合支持服务,26,1
011003003002015039,,4,0
011003003002016040,人力资源与就业服务,7,1
011003003002016041,调查和咨询服务,10,1
011003003003017042,航空货运与物流Ⅳ,21,1
011003003003018043,,4,0
011003003003019044,海运,17,1
011003003003020045,,3,0
011003003003021047,,2,0
011003003003021048,,14,0
011003003003021049,海港与服务,14,1
011003004001022050,汽车零件与设备,31,1
011003004001022051,,1,0
011003004001023052,汽车制造商,12,1
011003004001023053,,1,0
011003004002024054,,23,0
011003004002024055,,11,0
011003004002024056,,1,0
011003004002024057,家用电器,20,1
011003004002024058,家用器具与特殊消费品,6,1
011003004002025059,消闲用品,28,1
011003004002026061,服装、服饰与奢侈品,78,1
011003004002026062,,8,0
011003004002026063,纺织品,21,1
011003004003027064,赌场与赌博,11,1
011003004003027065,酒店、度假村与豪华游轮,43,1
011003004003027066,,8,0
011003004003027067,餐馆,42,1
011003004003028068,教育服务,41,1
011003004003028069,特殊消费者服务,27,1
011003004005030075,经销商Ⅳ,16,1
011003004005033080,,14,0
011003004005033081,,7,0
011003004005033082,,2,0
011003004005033083,其他专卖店,19,1
011003004005033084,汽车零售,20,1
011003004005033085,家庭装饰零售,10,1
011003005001034086,药品零售,6,1
011003005001034087,食品分销商,15,1
011003005001034088,食品零售,15,1
011003005001034089,日常消费品零售,6,1
011003005002035090,,4,0
011003005002035091,酿酒商与葡萄酒商,9,1
011003005002035092,软饮料与不含酒精饮料,13,1
011003005002036093,农产品与服务,9,1
011003005002036095,包装食品与肉类,39,1
011003005002037096,,3,0
011003005003038097,居家用品Ⅳ,5,1
011003005003039098,个人护理用品,10,1
011003006001040099,医疗保健设备,38,1
011003006001040100,医疗保健用品,15,1
011003006001041101,保健护理产品经销商,15,1
011003006001041102,保健护理服务,23,1
011003006001041103,保健护理机构,23,1
011003006001041104,管理型保健护理,2,1
011003006001042105,医疗保健技术Ⅳ,18,1
011003006002043106,生物科技Ⅳ,29,1
011003006002044107,制药Ⅳ,93,1
011003006002045108,生命科学工具和服务Ⅳ,11,1
011003007001046109,,21,0
011003007001046110,区域性银行,15,1
011003007002048113,综合金融服务,13,1
011003007002048114,,14,0
011003007002048115,特殊金融服务,26,1
011003007002049116,消费信贷Ⅳ,33,1
011003007002050117,资产管理与托管银行,23,1
011003007002050118,,43,0
011003007002050119,,7,0
011003007002050120,,1,0
011003007002051001,,0,0
011003007003051120,保险经纪商,5,1
011003007003051121,人寿与健康保险,5,1
011003007003051122,,9,0
011003007003051123,,1,0
011003007003051124,,0,0
011003008001056139,信息科技咨询与其它服务,47,1
011003008001056141,互联网服务和基础设施,33,1
011003008001057141,应用软件,42,1
011003008001057142,系统软件,8,1
011003008002058145,通信设备Ⅳ,22,1
011003008002059148,电脑硬件、储存设备及电脑周边,9,1
011003008002060148,电子设备和仪器,26,1
011003008002060149,电子元件,44,1
011003008002060150,电子制造服务,17,1
011003008002060151,技术产品经销商,25,1
011003008003063155,,4,0
011003008003063156,半导体产品,30,1
011003009001064157,,0,0
011003009001064158,综合电信业务Ⅳ,17,1
011003009001065159,无线电信业务Ⅳ,1,1
011003009002001001,广告,35,1
011003009002001002,,4,0
011003009002001003,,2,0
011003009002001004,出版,12,1
011003009002002001,电影和娱乐,26,1
011003009002002002,互动家庭娱乐,25,1
011003009002003001,互动媒体与服务Ⅳ,37,1
011003010001066160,,11,0
011003010001067161,燃气公用事业Ⅳ,19,1
011003010001068162,,2,0
011003010001069163,,10,0
011003010001070164,独立电力生产商与能源贸易商Ⅳ,19,1
011003010001070165,新能源发电业者,15,1
011003011001001001,,7,0
161004_20202030,,6,0
161004_20304030,,4,0
161004_20304040,,4,0
161004_25503030,多品类零售,30,1
161004_40201050,,0,0
161004_40201060,交易与支付处理服务,5,1
161004_60102510,,1,0
161004_60103010,,5,0
161004_60104010,,0,0
161004_60105010,,0,0
161004_60106010,,1,0
161004_60106020,,1,0
161004_60107010,,1,0
161004_60108010,,0,0
161004_60108020,,0,0
161004_60108030,,0,0
161004_60108040,,0,0
161004_60108050,,0,0
161004_60201010,,19,0
161004_60201020,房地产经营公司,115,1
161004_60201030,房地产开发,108,1
161004_60201040,房地产服务,18,1
