p05309_f001,p05309_f002,p05309_f003,p05309_f016,p05309_f004,p05309_f017,p05309_f005,p05309_f018,p05309_f006,p05309_f019,p05309_f009,p05309_f008,p05309_f011,p05309_f014,p05309_f010,p05309_f015,p05309_f012,p05309_f013
1187.HK,可孚医疗,2026/05/06,2026/04/27,2026/05/05,是,蓝思科技(香港)有限公司,"蓝思科技(香港)为一家根据香港法律注册成立的有限公司,主要专注于贸易业务。",周群飞,--,1990900,78305000.0000,HKD,7.3700,6,2026/11/06,医疗设备及用品,医疗保健设备
1187.HK,可孚医疗,2026/05/06,2026/04/27,2026/05/05,是,长沙雨丰科技有限公司,长沙雨丰为一家于中国成立的有限责任公司及独立第三方。,长沙市雨花区人民政府及雨花经济开发区管理委员会,--,1390700,54735195.0000,HKD,5.1500,6,2026/11/06,医疗设备及用品,医疗保健设备
1187.HK,可孚医疗,2026/05/06,2026/04/27,2026/05/05,是,远信(珠海)私募基金管理有限公司及中国银河国际投资有限公司,"中国银河国际投资与中国银河证券股份有限公司(‘中国银河证券’)将彼此并与其最终客户(‘中国银河国际投资最终客户(远信投资)’)订立一系列跨境delta-one股权场外掉期交易(统称‘远信投资场外掉期’),据此,中国银河国际投资将以非全权委托方式持有发售股份,以对冲远信投资场外掉期,而相关发售股份的经济风险及回报最终由远信投资承担,惟须支付惯常费用及佣金。远信投资场外掉期将由中国银河国际投资最终客户(远信投资)全额出资。于远信投资场外掉期的期限内,中国银河国际投资认购的发售股份的所有经济回报将通过远信投资场外掉期转移至中国银河国际投资最终客户(远信投资),且所有经济损失将由中国银河国际投资最终客户(远信投资)承担,而中国银河国际投资将不参与发售股份相关的任何经济回报,亦不承担任何经济损失。远信投资场外掉期与发售股份挂钩,中国银河国际投资最终客户(远信投资)可于中国银河国际投资与公司订立的相关基石协议当日起至上市日期起计满六个月当日止的禁售期届满后,自行决定要求提早终止远信投资场外掉期,届时中国银河国际投资可根据远信投资场外掉期的条款及条件处置发售股份并以现金结算远信投资场外掉期。据中国银河国际投资经作出一切合理查询后所深知,各中国银河国际投资最终客户(远信投资)均为中国银河国际投资及中国银河国际投资同一集团成员公司的独立第三方,且除刘岩先生外,概无单一最终实益拥有人持有中国银河国际投资最终客户(远信投资)30%或以上的权益。根据公开资料,中国银河国际投资最终客户(远信投资)为一家于中国成立的有限责任公司,该基金管理公司专注于私募股权投资,资产管理规模超过人民币100亿元。中国银河国际投资最终客户(远信投资)的最终实益拥有人为独立第三方刘岩先生。概无其他股东持有中国银河国际投资最终客户(远信投资)30%或以上的股权。",--,--,1296000,50976555.0000,HKD,4.8000,6,2026/11/06,医疗设备及用品,医疗保健设备
1187.HK,可孚医疗,2026/05/06,2026/04/27,2026/05/05,是,黄雪林,"黄先生为胜蓝科技股份有限公司(‘胜蓝科技’,一家于深圳证券交易所上市的公司(股份代号:300843))董事长。截至最后实际可行日期,黄先生持有胜蓝科技已发行股本总额约45.28%,并为胜蓝科技的最终实益拥有人。",--,--,995400,39152500.0000,HKD,3.6900,6,2026/11/06,医疗设备及用品,医疗保健设备
1187.HK,可孚医疗,2026/05/06,2026/04/27,2026/05/05,是,盘京港景投资基金,盘京基金为一家根据开曼群岛公司法于开曼群岛注册成立的获豁免有限责任公司。,XIAO Jian,--,995400,39152500.0000,HKD,3.6900,6,2026/11/06,医疗设备及用品,医疗保健设备
1187.HK,可孚医疗,2026/05/06,2026/04/27,2026/05/05,是,"FR M CONSULTING CO., LTD","FR M CONSULTING为一家于英属维尔京群岛注册成立的有限责任公司,主要从事证券市场投资。其投资组合包括投资于医疗保健、生物科技及矿业领域的香港上市公司。",张国锋,"张国锋先生(一名独立第三方)为FR M CONSULTING的最终实益拥有人。张先生主要从事投资及企业管理工作,并曾以个人名义投资于(其中包括)医疗保健及生物科技行业的营运公司。",597200,23491500.0000,HKD,2.2100,6,2026/11/06,医疗设备及用品,医疗保健设备
1187.HK,可孚医疗,2026/05/06,2026/04/27,2026/05/05,是,戴钧安,"戴先生为一名个人投资者及独立第三方。自2020年起,戴先生担任运岭有限公司(一家于香港注册成立的有限公司)董事兼总经理。戴先生一直为中国若干消费电子公司的股东。截至最后实际可行日期,戴先生已投资若干家上市公司,投资组合超100百万港元。",--,--,497700,19576250.0000,HKD,1.8400,6,2026/11/06,医疗设备及用品,医疗保健设备
1187.HK,可孚医疗,2026/05/06,2026/04/27,2026/05/05,是,香港汉清达实业有限公司,"汉清达实业为一家于香港注册成立的有限公司,主要从事电子产品、电子零部件、数码产品及运动穿戴设备的进出口贸易。",侯守山,--,497700,19576250.0000,HKD,1.8400,6,2026/11/06,医疗设备及用品,医疗保健设备
1187.HK,可孚医疗,2026/05/06,2026/04/27,2026/05/05,是,大成国际资产管理有限公司,"大成国际于2009年3月19日在香港成立,注册资本为2亿港元,为大成基金管理有限公司(‘大成基金’)的全资附属公司,致力于为客户提供全面及一体化的资产管理及投资顾问服务。根据证券及期货条例,大成国际获发牌从事第1类(证券交易)、第4类(就证券提供意见)及第9类(提供资产管理)受规管活动,并于2015年取得全国社会保障基金投资管理人资格,担任中华人民共和国全国社会保障基金理事会的投资管理人。大成国际担任由其管理或分管理的大成中国灵活配置基金的投资管理人或投资顾问,并拥有全权投资许可权。成国际拥有成熟的产品线,涵盖公募基金(包括投资于中国证券市场及海外证券市场)、私募基金及全权委托账户投资组合。大成国际为获中国证监会颁发QFII/RQFII资格的11家香港附属公司之一,亦为仅有的四名全国社会保障基金境外投资管理人资格持有人之一。于2018年10月,大成国际成为首批获得港股通境外投资顾问资格的机构之一。",大成基金管理有限公司,--,398100,15661000.0000,HKD,1.4700,6,2026/11/06,医疗设备及用品,医疗保健设备
1187.HK,可孚医疗,2026/05/06,2026/04/27,2026/05/05,是,陆勤超,"陆女士为一名个人投资者及独立第三方。陆女士拥有逾20年基金投资经验。陆女士现任广州丹麓股权投资管理有限公司(‘丹麓资本’)的创始人兼执行事务合伙人,专注于医疗健康产业的早期股权投资,丹麓资本的资产管理规模近人民币20亿元。其投资组合包括但不限于广州朗目生命科技有限公司及苏州良医汇网络科技有限公司。",--,--,398100,15661000.0000,HKD,1.4700,6,2026/11/06,医疗设备及用品,医疗保健设备
