stock_code,company_name,delisting_date,delisting_reason,is_acquired
8126.HK,G.A.控股,2026/05/05,被取消上市地位,0
6051.HK,有赞,2026/04/17,转板,0
1922.HK,瑞森生活服务,2026/04/09,被取消上市地位,0
0459.HK,鋑联控股,2026/03/31,私有化,1
0663.HK,金山能源,2026/03/26,被取消上市地位,0
1495.HK,集一控股,2026/03/26,被取消上市地位,0
0489.HK,东风集团股份,2026/03/19,私有化,1
0802.HK,中国钱包,2026/03/16,被取消上市地位,0
8211.HK,浙江永安,2026/03/16,被取消上市地位,0
8063.HK,环球大通集团,2026/03/16,被取消上市地位,0
0230.HK,五矿地产,2026/03/04,私有化,1
8257.HK,靖洋集团,2026/03/04,私有化,1
2448.HK,恒宇集团,2026/02/26,被取消上市地位,0
9666.HK,金科服务,2026/02/23,私有化,1
1189.HK,大湾区聚变力量,2026/02/16,被取消上市地位,0
9956.HK,安能物流,2026/02/10,私有化,1
0009.HK,金奥国际,2026/02/02,被取消上市地位,0
80011.HK,恒生银行-R,2026/01/28,私有化,1
0011.HK,恒生银行,2026/01/28,私有化,1
0593.HK,梦东方,2026/01/27,被取消上市地位,0
8215.HK,第一信用,2026/01/16,被取消上市地位,0
1263.HK,栢能集团,2026/01/15,被取消上市地位,0
2019.HK,德信中国,2026/01/07,被取消上市地位,0
6689.HK,洪九果品,2025/12/30,被取消上市地位,0
9997.HK,康基医疗,2025/12/10,私有化,1
7855.HK,TECHSTARACQ-Z,2025/12/10,私有化,1
2708.HK,艾伯科技,2025/12/08,被取消上市地位,0
0207.HK,大悦城地产,2025/11/28,私有化,1
6122.HK,九台农商银行,2025/11/25,私有化,1
6638.HK,金融壹账通,2025/11/24,私有化,1
2066.HK,盛京银行,2025/11/21,私有化,1
8001.HK,东方汇财证券,2025/11/17,被取消上市地位,0
1730.HK,贤能集团,2025/11/05,被取消上市地位,0
1185.HK,中国航天万源,2025/11/04,被取消上市地位,0
8363.HK,SDM教育,2025/11/04,被取消上市地位,0
9876.HK,大洋环球控股,2025/11/03,转板,0
3326.HK,保发集团,2025/11/03,私有化,1
6900.HK,上坤地产,2025/10/27,被取消上市地位,0
2060.HK,浦江国际,2025/10/27,被取消上市地位,0
0589.HK,建中建设,2025/10/27,被取消上市地位,0
6606.HK,诺辉健康,2025/10/27,被取消上市地位,0
1034.HK,富汇国际集团控股,2025/10/15,被取消上市地位,0
0812.HK,西证国际证券,2025/09/29,被取消上市地位,0
0226.HK,力宝,2025/09/26,私有化,1
2292.HK,晋安实业,2025/09/19,私有化,1
1699.HK,普甜食品,2025/09/11,被取消上市地位,0
0925.HK,北京建设,2025/09/01,私有化,1
0102.HK,凯升控股,2025/09/01,被取消上市地位,0
1383.HK,LET GROUP,2025/09/01,被取消上市地位,0
3333.HK,中国恒大,2025/08/25,被取消上市地位,0
2217.HK,谭仔国际,2025/08/20,私有化,1
1360.HK,诺发集团,2025/08/07,被取消上市地位,0
1558.HK,东阳光长江药业,2025/08/06,私有化,1
9977.HK,凤祥股份,2025/08/01,私有化,1
8523.HK,常满控股,2025/07/28,被取消上市地位,0
