jydm,jydm_mc,p02565_f001,p02565_f002,p02565_f003,p02565_f004,p02565_f009,p02565_f010,p02565_f011,p02565_f005,p02565_f006,p02565_f007,p02565_f008
8126.HK,G.A.控股,G.A.控股有限公司,G.A.Holdings Ltd.,2026/05/05,2002/06/17,被取消上市地位,0.180994000,"该公司未能于2026年3月31日或之前履行联交所订下的复牌指引而复牌。于2026年4月17日,上市委员会决定根据《GEM规则》第9.14A(1)条取消该公司股份在联交所的上市地位。",开曼群岛,新加坡51金岭广场#15-05,"汽车,汽车零售商",汽车零售
6051.HK,有赞,有赞科技有限公司,Youzan Technology Limited,2026/04/17,2000/04/14,转板,51.1163785656,--,百慕大,香港湾仔港湾道6-8号瑞安中心15楼1511室,"应用软件,电子商贸及互联网服务,资讯科技器材","互联网与直销零售,交易与支付处理服务,摄影产品,综合金融服务,贸易公司与经销商"
1922.HK,瑞森生活服务,瑞森生活服务有限公司,"Ruisen Life Service Co, Limited",2026/04/09,2019/11/06,被取消上市地位,3.633267200,"该公司未能于2026年2月27日或之前履行联交所订下的复牌指引而复牌。该公司亦未能证明其适合上市。于2026年3月20日,上市委员会决定根据《上市规则》第6.01A(1)及6.01(4)条取消该公司股份在联交所的上市地位。",开曼群岛,中国江苏省南京市江东北路289号银城广场A座5楼,物业服务及管理,房地产经营公司
0459.HK,鋑联控股,鋑联控股有限公司,Legend Upstar Holdings Limited,2026/03/31,2001/03/15,私有化,2.40102586864,股份于联交所主板的上市地位将自二零二六年三月三十日(星期一)下午四时正(香港时间)起撤销。,开曼群岛,香港德辅道中19号环球大厦25楼2505-8室,地产代理,房地产服务
0663.HK,金山能源,金山能源集团有限公司,King Stone Energy Group Limited,2026/03/26,1990/11/30,被取消上市地位,1.21100350068,"该公司的股份自2024年4月2日起已暂停买卖。根据《上市规则》第6.01A(1)条,若该公司未能于2025年10月1日或之前复牌,联交所可将该公司除牌。该公司未能于2025年10月1日或之前履行联交所订下的复牌指引而复牌。于2025年10月31日,上市委员会决定根据《上市规则》第6.01A(1)条取消该公司股份在联交所的上市地位。",香港中环中环皇后大道中138号威享大厦17楼,香港中环中环皇后大道中138号威享大厦17楼,"煤炭,综合企业,黄金及贵金属","多领域控股,煤与消费用燃料,特殊金融服务"
1495.HK,集一控股,集一控股有限公司,Jiyi Holdings Limited,2026/03/26,2015/11/06,被取消上市地位,0.25849021156,"该公司未能于2025年10月1日或之前履行联交所订下的复牌指引而复牌。于2025年11月7日,上市委员会决定根据《上市规则》第6.01A(1)条取消该公司股份在联交所的上市地位。",开曼群岛,中国广东省梅州市梅县区宪梓中路2号,"其他零售商,建筑材料,楼宇建造",贸易公司与经销商
0489.HK,东风集团股份,东风汽车集团股份有限公司 - H股,Dongfeng Motor Group Co. Ltd. - H Shares,2026/03/19,2005/12/07,私有化,787.296895200,东风汽车集团(武汉)投资有限公司通过吸收合并的方式将东风汽车集团股份有限公司私有化,湖北省武汉市蔡甸区武汉经济技术开发区东风大道特1号,湖北省武汉市蔡甸区武汉经济技术开发区东风大道特1号,"商业用车及货车,汽车",汽车制造商
0802.HK,中国钱包,中国钱包支付集团有限公司,China e-Wallet Payment Group Limited,2026/03/16,2009/02/10,被取消上市地位,0.2715956766,"该公司未能于2025年10月1日或之前履行联交所订下的复牌指引而复牌。于2025年10月24日,上市委员会决定根据《上市规则》第6.01A(1)条取消该公司股份在联交所的上市地位。",百慕大,香港新界葵涌工业街10-14号华发工业大厦24楼7I室,系统开发及资讯科技顾问,"应用软件,贸易公司与经销商"
8211.HK,浙江永安,浙江永安融通控股股份有限公司,"Zhejiang Yongan Rongtong Holdings Co., Ltd.",2026/03/16,2002/11/08,被取消上市地位,0.499845000,"该公司未能于2026年2月20日或之前履行联交所订下的复牌指引而复牌。于2026年2月27日,GEM上市委员会决定根据《GEM规则》第9.14A(1)条取消该公司股份在联交所的上市地位。",中国浙江省绍兴市柯桥区湖塘街道西屋工业园,中国浙江省绍兴市柯桥区湖塘街道西屋工业园,纺织品及布料,纺织品
8063.HK,环球大通集团,环球大通集团有限公司,Global Mastermind Holdings Limited,2026/03/16,2000/12/07,被取消上市地位,0.11237462434,"该公司未能于2026年2月18日或之前履行联交所订下的复牌指引而复牌。于2026年2月27日,GEM上市委员会决定根据《GEM规则》第9.14A(1)条取消该公司股份在联交所的上市地位。",开曼群岛,香港长沙湾长裕街18号柏裕工业中心9楼D16室,"信贷,其他金融,旅游及观光","特殊金融服务,贸易公司与经销商,酒店、度假村与豪华游轮"
0230.HK,五矿地产,五矿地产有限公司,Minmetals Land Limited,2026/03/04,1991/12/20,私有化,33.469080370,--,百慕大,香港九龙尖沙咀漆咸道南七十九号中国五矿大厦十八楼,地产发展商,房地产开发
8257.HK,靖洋集团,靖洋集团控股有限公司,Genes Tech Group Holdings Company Limited,2026/03/04,2017/07/14,私有化,2.440000000,--,开曼群岛,台湾30244新竹县竹北市保泰三路80号,"半导体,半导体设备与材料",半导体材料与设备
2448.HK,恒宇集团,恒宇集团控股有限公司,Space Group Holdings Limited,2026/02/26,2018/01/16,被取消上市地位,0.261144000,"该公司的股份自2024年7月15日起已暂停买卖。根据《上市规则》第6.01A(1)条,若该公司未能于2026年1月14日或之前复牌,联交所可将该公司除牌。该公司未能于2026年1月14日或之前履行联交所订下的复牌指引而复牌。于2026年2月6日,上市委员会决定根据《上市规则》第6.01A(1)条取消该公司股份在联交所的上市地位。",开曼群岛,澳门毕仕达大马路18号中福商业中心8C,楼宇建造,建筑与工程
9666.HK,金科服务,金科智慧服务集团股份有限公司,"Jinke Smart Services Group Co., Ltd.",2026/02/23,2020/11/17,私有化,51.600220650,--,中国重庆市江北区石马河街道盘溪路484号附1号,中国重庆市江北区石马河街道盘溪路480号金科十年城东区A4栋,物业服务及管理,房地产服务
1189.HK,大湾区聚变力量,大湾区聚变力量控股有限公司,Greater Bay Area Dynamic Growth Holding Limited,2026/02/16,1997/10/06,被取消上市地位,0.37882130208,"该公司未能于2025年10月1日或之前履行联交所订下的复牌指引而复牌。于2025年10月17日,上市委员会决定根据《上市规则》第6.01A(1)条取消该公司股份在联交所的上市地位。",百慕大,香港九龙尖沙咀赫德道8号3楼D室,酒店及度假村,酒店、度假村与豪华游轮
9956.HK,安能物流,安能物流集团有限公司,ANE (Cayman) Inc.,2026/02/10,2021/11/11,私有化,143.2628246029,--,开曼群岛,中国上海市青浦区华新镇嘉松中路3899号,"公路运输,航空货运及物流","地面货运,陆运"
0009.HK,金奥国际,金奥国际股份有限公司,Keyne Ltd,2026/02/02,2001/09/12,被取消上市地位,0.46394278177,"该公司的股份自2024年4月2日起已暂停买卖。根据《上市规则》第6.01A(1)条,若该公司未能于2025年10月1日或之前复牌,联交所可将该公司除牌。该公司未能于2025年10月1日或之前履行联交所订下的复牌指引而复牌。于2025年10月10日,上市委员会决定根据《上市规则》第6.01A(1)条取消该公司股份在联交所的上市地位。",百慕大,香港荃湾青山公路荃湾段459-469号华力工业中心11楼A-B室,"地产发展商,地产投资,影视娱乐","工业REIT,房地产经营公司,电影与娱乐,酒店及度假村房地产投资信托"
80011.HK,恒生银行-R,恒生银行有限公司,Hang Seng Bank Ltd.,2026/01/28,2023/06/19,私有化,2894.4274936563,"恒生银行已向香港联交所申请,而香港联交所已批准撤销恒生银行股份在香港联交所的上市地位,自2026年1月27日(星期二)下午4时正起生效,惟须待计划变成具约束力且生效后方告作实。",香港德辅道中83号,香港德辅道中83号,银行,综合性银行
0011.HK,恒生银行,恒生银行有限公司,Hang Seng Bank Ltd.,2026/01/28,1972/06/20,私有化,2889.942618048,"恒生银行已向香港联交所申请,而香港联交所已批准撤销恒生银行股份在香港联交所的上市地位,自2026年1月27日(星期二)下午4时正起生效,惟须待计划变成具约束力且生效后方告作实。",香港德辅道中83号,香港德辅道中83号,银行,综合性银行
