thscode,total_oi,gross_selling_rate,net_profit_margin_on_sales,ths_roe_hks,ni_attr_to_cs,report_year
1187.HK,2976958000.0,37.842,10.1452,6.0092,301683000.0,2022
1609.HK,146596000.0,70.9017,27.5192,14.2898,40342000.0,2022
6810.HK,3404380000.0,28.1173,4.6856,9.597,159516000.0,2022
2493.HK,,,,,,2022
1879.HK,,,,,,2022
3296.HK,92645702000.0,9.5767,2.7135,20.8765,2585146000.0,2022
2476.HK,7885155000.0,18.1476,10.027,11.3977,790646000.0,2022
0068.HK,600616000.0,72.6761,-117.169,,-703736000.0,2022
3277.HK,604407000.0,76.1611,-13.9143,-11.4524,-83148000.0,2022
6656.HK,,,,,,2022
0664.HK,503185000.0,32.2402,11.3155,19.9064,56938000.0,2022
3625.HK,130327000.0,7.2732,-50.5667,-22.0896,-65902000.0,2022
1021.HK,109442000.0,13.7114,-76.1737,-19.644,-79528000.0,2022
2726.HK,440691000.0,44.6882,28.9416,21.8582,127543000.0,2022
2526.HK,,,,,,2022
6636.HK,101572000.0,30.601,-59.7822,-23.7022,-60855000.0,2022
2729.HK,656924000.0,15.7443,-31.9014,,-209338000.0,2022
2632.HK,214092000.0,22.5992,-119.642,,-252372000.0,2022
3355.HK,1988244000.0,45.4098,18.3331,23.7864,364507000.0,2022
2701.HK,1195411000.0,35.638,-1.5836,-1.9699,-32485000.0,2022
1989.HK,2412387000.0,26.06,11.5923,19.8464,279651000.0,2022
7489.HK,6051754000.0,8.3055,-25.416,-32.287,-1538115000.0,2022
3268.HK,2305932000.0,17.5797,5.4908,15.6008,127836000.0,2022
2715.HK,3880779000.0,32.8856,4.73,6.0123,166780000.0,2022
2649.HK,647587000.0,19.6804,4.818,8.6929,23703000.0,2022
2692.HK,1152459000.0,29.0778,13.0587,5.1066,150496000.0,2022
2706.HK,312992000.0,30.9478,-56.1612,-385.2037,-175780000.0,2022
9981.HK,5336649000.0,30.2055,12.3719,14.1533,614623000.0,2022
0470.HK,13836131000.0,36.6075,16.7542,20.8367,2318133000.0,2022
0600.HK,50230000.0,25.869,-1217.5473,,-1068590000.0,2022
2720.HK,818412000.0,23.2319,13.9112,71.5989,106938000.0,2022
6809.HK,3672258000.0,46.4431,35.3835,13.1089,1299378000.0,2022
2714.HK,124640908141.26,17.373,11.9811,18.4808,13266156512.39,2022
3200.HK,2786150000.0,34.0189,15.5057,7.589,434687000.0,2022
2677.HK,473184000.0,9.2945,-46.8152,,-215496000.0,2022
2768.HK,13406440000.0,11.7851,5.4031,16.2962,663412000.0,2022
9980.HK,8500023000.0,41.5523,16.9473,28.4429,1440521000.0,2022
1768.HK,4285745000.0,7.4515,1.6718,12.1013,71651000.0,2022
9611.HK,29343152000.0,8.0602,1.9136,17.7847,561301000.0,2022
3986.HK,8129992000.0,45.4763,25.2507,13.5054,2051080000.0,2022
1641.HK,236736000.0,50.0684,33.4178,9.4607,79112000.0,2022
8610.HK,,,,,,2022
0501.HK,20040249000.0,23.6589,4.7454,5.4538,982730000.0,2022
6938.HK,,,,,,2022
3636.HK,637303000.0,26.7523,13.1027,23.1651,83504000.0,2022
0100.HK,,,,,-73728000.0,2022
2675.HK,,,,,,2022
2513.HK,57409000.0,54.6256,-250.2221,,-143374000.0,2022
9903.HK,189369000.0,59.3614,-292.3488,-79.252,-523839000.0,2022
6082.HK,499000.0,100.0,-295453.3066,,-1474312000.0,2022
3317.HK,287899000.0,78.0183,-33.5229,-6.4623,-75141000.0,2022
2657.HK,691150000.0,77.9971,-0.8581,-1.5383,-5871000.0,2022
6600.HK,274597000.0,34.2826,-31.6766,-41.7133,-86983000.0,2022
6651.HK,169977000.0,64.9535,-111.6533,,-79204000.0,2022
3696.HK,30147000.0,63.3894,-735.8211,,-221828000.0,2022
2671.HK,1902842000.0,12.7494,4.6092,30.0047,88907000.0,2022
3378.HK,,,,-27.3732,-28400000.0,2022
2635.HK,252620000.0,55.5629,25.0024,37.9349,63161000.0,2022
2661.HK,393607000.0,82.6111,-0.532,,-2061000.0,2022
2396.HK,,,,,-85926000.0,2022
2691.HK,852643000.0,,28.8411,7.4191,246060000.0,2022
2695.HK,63039000.0,27.2498,-4.1228,-1.3971,-2599000.0,2022
2581.HK,2336435000.0,16.3968,3.8328,7.0078,89550000.0,2022
3881.HK,31056000.0,-19.3038,-846.8476,,-262997000.0,2022
2546.HK,482354000.0,36.2068,24.4406,13.8215,117890000.0,2022
3887.HK,129064000.0,97.2332,-453.4138,-8983.0389,-584706000.0,2022
2655.HK,141831000.0,25.1144,17.1169,84.3641,24280000.0,2022
7618.HK,14134695000.0,17.9764,-8.9788,,-1334128000.0,2022
2659.HK,,,,,,2022
2665.HK,66302000.0,-62.3224,-283.7999,,-188165000.0,2022
2676.HK,1670393000.0,48.508,14.9738,3.8565,250574000.0,2022
2687.HK,400111000.0,44.124,-14.7734,-17.8843,-59110000.0,2022
2408.HK,418096000.0,61.6983,-8.604,-138.5069,-35973000.0,2022
2658.HK,436855000.0,20.0263,0.6441,0.9259,6910000.0,2022
2693.HK,190366000.0,30.2344,12.8295,6.9066,24423000.0,2022
2539.HK,330154000.0,25.847,1.963,8.3879,6481000.0,2022
9609.HK,327076000.0,44.8972,31.1876,43.231,102007000.0,2022
2685.HK,475285000.0,65.8041,-0.0595,,-195000.0,2022
2788.HK,13489726000.0,15.1311,6.7674,52.1482,881286000.0,2022
2579.HK,30343742000.0,11.141,5.0733,9.3727,1548644000.0,2022
2698.HK,319898000.0,22.9864,5.7487,80.8352,18390000.0,2022
0699.HK,49793352000.0,11.13,0.4685,3.1959,391591000.0,2022
0800.HK,527543000.0,44.0808,-246.1403,,-1298496000.0,2022
2630.HK,,,,,,2022
2026.HK,68386000.0,46.8868,-216.7841,-20.9654,-148018000.0,2022
9927.HK,34056074000.0,8.0092,-15.3293,-33.5551,-3831866000.0,2022
2718.HK,1269265000.0,53.2386,129.023,,1659924000.0,2022
6031.HK,80838530000.0,22.6331,5.4836,6.6129,4301041000.0,2022
6166.HK,3783739000.0,18.1999,4.5221,8.8862,171106000.0,2022
6980.HK,1817540000.0,53.3422,9.1249,21.9305,166095000.0,2022
1384.HK,100468000.0,29.4213,-652.1738,,-655226000.0,2022
0638.HK,5202736000.0,20.485,7.0123,15.0245,364833000.0,2022
6687.HK,523078000.0,52.2891,-96.9414,,-505335000.0,2022
2637.HK,212465000.0,80.9884,32.467,23.97,68981000.0,2022
2670.HK,161280000.0,24.3496,-226.5749,,-365420000.0,2022
2575.HK,,,,-38.2703,-512265000.0,2022
2650.HK,697060000.0,20.3819,-3.6076,-108.5276,-26306000.0,2022
8549.HK,,,,,,2022
2652.HK,349127000.0,76.6068,-14.1493,-5.6241,-49399000.0,2022
2259.HK,1817981000.0,34.1287,15.9691,10.1723,183680000.0,2022
2889.HK,1217757000.0,14.0522,-37.13,-127.222,-452095000.0,2022
2583.HK,323704000.0,19.8104,7.5813,5.1011,24541000.0,2022
9973.HK,92618000000.0,13.8256,6.2688,67.961,6266000000.0,2022
6090.HK,507202000.0,47.6696,-4.1855,,-21229000.0,2022
2595.HK,105061000.0,90.0382,-261.9849,,-275244000.0,2022
2656.HK,525646000.0,22.5032,-22.8414,,-111305000.0,2022
2525.HK,1202670000.0,39.2449,-25.0081,-26.2933,-747184000.0,2022
2543.HK,254188000.0,30.6592,12.3664,57.3561,31434000.0,2022
2580.HK,19527585000.0,21.2515,7.3831,83.4483,1441738000.0,2022
3858.HK,,,,-120.8404,-93661000.0,2022
6960.HK,4072480000.0,16.9331,6.9006,20.2229,281019000.0,2022
2631.HK,417035000.0,-7.9015,-42.1264,-3.346,-175682000.0,2022
2591.HK,,,,-55.5588,-300644000.0,2022
2627.HK,,,,,,2022
6887.HK,3813566000.0,76.6262,-37.1284,,-1084623000.0,2022
9887.HK,,,,,-280789000.0,2022
2651.HK,409444000.0,36.2623,13.787,38.3612,43342000.0,2022
2590.HK,1452163000.0,17.6666,-107.9154,,-1567108000.0,2022
2597.HK,809743000.0,24.1293,9.2202,12.162,75972000.0,2022
6613.HK,46698546000.0,18.3023,5.3959,5.5421,2448037000.0,2022
1304.HK,322973000.0,57.3419,43.9668,6.297,142001000.0,2022
1828.HK,2429000000.0,,-13.1741,-4.6266,-302000000.0,2022
2648.HK,12105618000.0,21.1516,9.2313,9.4272,1101030000.0,2022
2592.HK,,,,,-66838000.0,2022
9678.HK,600619000.0,39.94,-62.5007,,-366012000.0,2022
6603.HK,,,,,,2022
3880.HK,350840000.0,57.3107,15.3859,35.097,53980000.0,2022
2508.HK,471522000.0,29.9307,-87.2867,,-407496000.0,2022
6883.HK,1674654000.0,51.4395,10.2043,33.3396,170887000.0,2022
6168.HK,3101690000.0,38.6914,18.5461,35.6465,575241000.0,2022
2643.HK,7630961000.0,-4.4423,-26.3021,,-1972065000.0,2022
2619.HK,1096965000.0,20.4081,7.3166,12.8977,80261000.0,2022
2050.HK,21347550000.0,25.5843,12.2171,19.8847,2573344000.0,2022
2609.HK,802652000.0,9.9118,-9.4082,-5.7722,-58018000.0,2022
2617.HK,124000.0,100.0,-203180.6452,-23.0803,-251944000.0,2022
3288.HK,25609652000.0,34.8721,24.222,23.4783,6197717000.0,2022
9881.HK,393273000.0,22.8495,9.5219,23.0726,37447000.0,2022
2605.HK,135379000.0,72.9818,-14.8007,,-20037000.0,2022
2573.HK,761499000.0,25.5889,16.0238,35.5539,122021000.0,2022
2621.HK,806258000.0,34.7802,16.2463,,130881000.0,2022
2565.HK,,,,-102.1502,-306416000.0,2022
2603.HK,5375884000.0,40.5301,3.1916,9.2872,183980000.0,2022
1276.HK,21275271000.0,83.6118,17.9323,10.3279,3906374000.0,2022
2629.HK,17758971.0,52.5164,-316.4752,,-56641613.0,2022
3750.HK,328593988000.0,17.6401,10.1819,18.6825,30729164000.0,2022
6831.HK,2375453000.0,63.6989,0.6979,3.6053,16579000.0,2022
2865.HK,11085713000.0,10.9631,7.4058,69.8553,716945000.0,2022
2589.HK,2199005000.0,26.6611,6.7972,52.0043,149470000.0,2022
1333.HK,360106324.0,2.2695,-49.4578,-173.7745,-148323255.0,2022
9606.HK,1600000.0,100.0,-24193.125,,-387090000.0,2022
3677.HK,3290253000.0,-8.8224,-52.275,-77.2484,-1719981000.0,2022
