p05310_f001,p05310_f002,p05310_f003,p05310_f004,p05310_f005,p05310_f006,p05310_f007,p05310_f008,p05310_f009,p05310_f010,p05310_f011,p05310_f012,p05310_f013,p05310_f014,p05310_f015,p05310_f016,p05310_f017,p05310_f018,p05310_f019,p05310_f020,p05310_f021,p05310_f022,p05310_f023,p05310_f024,p05310_f025,p05310_f026,p05310_f027,p05310_f028,p05310_f029,p05310_f030,p05310_f031,p05310_f032,p05310_f033,p05310_f034,p05310_f035,p05310_f036,p05310_f037,p05310_f038,p05310_f039,p05310_f040,p05310_f041,p05310_f042,p05310_f043,p05310_f044,p05310_f045,p05310_f046,p05310_f047,p05310_f048,p05310_f049,p05310_f050,p05310_f051,p05310_f052,p05310_f053,p05310_f054
1187.HK,可孚医疗,2026/05/05,"发售以供认购,发售以供配售",,否,--,39.3300,--,39.3300,100,3972.6700,27000000,27000000,2700000,2700000,24300000,24300000,--,--,--,--,1061910000.0000,54810000.0000,1007100000.0000,--,399.0800,2026/04/27,2026/04/27,2026/04/30,2026/05/04,2026/05/05,2026/05/06,2026/05/06,--,--,--,--,HKD,27000000,27000000,--,--,9654300,1.0000000000,CNY,1061910000.0000,0.0000,"30.0%将用于全球拓展,30.0%将用于公司持续的产品研发及技术创新,包括公司的人工智能及物联网应用,20.0%将用于拓展公司的国内销售渠道及经销网络,10.0%将用于品牌推广及营销活动,10.0%将用于营运资金及一般公司用途。",35.763788833329,--,3.4000,主板,是
1609.HK,天星医疗,2026/05/04,"发售以供认购,发售以供配售",,否,--,98.5000,98.5000,98.5000,50,4974.6700,8421850,8421850,842200,842200,7579650,7579650,--,--,--,--,829552225.0000,71152225.0000,758400000.0000,--,7823.1300,2026/04/24,2026/04/24,2026/04/29,2026/04/24,2026/05/04,2026/05/05,2026/05/05,--,--,--,--,HKD,8421850,8421850,--,--,2922900,1.0000000000,CNY,829552225.0000,0.0000,"约30.0%将用于扩大公司的生产能力并提升生产效率,以便公司能够满足快速增长的市场需求。约35.0%将用于支持公司以患者为导向的产品策略的研发工作。约25.0%将用于商业化、销售及市场推广活动,以巩固公司在中国的领先地位并建立全球市场存在及品牌形象。约10.0%将用于营运资金及一般企业用途。",34.706151261302,--,10.4100,主板,是
6810.HK,商米科技-W,2026/04/28,"发售以供认购,发售以供配售",,否,--,24.8600,24.8600,24.8600,100,2511.0700,42626800,42626800,4262700,4262700,38364100,38364100,--,--,--,--,1059702248.0000,137702248.0000,922000000.0000,--,2003.1600,2026/04/21,2026/04/21,2026/04/24,2026/04/21,2026/04/28,2026/04/29,2026/04/29,--,--,--,--,HKD,42626800,42626800,--,--,11520800,1.0000000000,CNY,1059702248.0000,0.0000,约40.0%用于为BIoT软硬件解决方案的研发提供资金;约30.0%用于拨付加强供应链及生产运营;约20.0%用于拨付实施全球市场扩张计划;约10.0%将用于营运资金及其他一般公司用途。,27.027128473167,--,7.9100,主板,是
2493.HK,迈威生物-B,2026/04/27,"发售以供认购,发售以供配售",,否,--,30.7100,27.6400,27.6400,200,6203.9500,47130200,47130200,4713200,4713200,42417000,42417000,--,--,--,--,1302678728.0000,113678728.0000,1189000000.0000,--,481.7100,2026/04/20,2026/04/20,2026/04/23,2026/04/24,2026/04/27,2026/04/28,2026/04/28,--,--,--,--,HKD,47130200,47130200,--,--,15020600,1.0000000000,CNY,1302678728.0000,0.0000,约56.8%将用于核心产品9MW2821针对多种适用症不同阶段的临床开发试验。约17.7%将用于针对具有大量临床需求的肿瘤和年龄相关疾病的其他管线产品的研发。约15.5%将用于商业化目的。约10.0%将用于营运资金及其他一般公司用途。,31.871108438028,--,3.4600,主板,是
1879.HK,曦智科技-P,2026/04/27,"发售以供认购,发售以供配售",,否,--,183.2000,166.6000,183.2000,15,2775.7100,13795215,13795215,689775,2759055,13105440,11036160,--,--,2069280,--,2527283388.0000,150383388.0000,2376900000.0000,--,5784.7000,2026/04/20,2026/04/20,2026/04/23,2026/04/24,2026/04/27,2026/04/28,2026/04/28,--,--,--,--,HKD,15864495,13795215,--,--,8974575,1.0000000000,CNY,2527283388.0000,0.0000,"约70.0%的所得款项净额将于未来五年用于研发工作,包括持续研发公司的光互连硬件及解决方案,以及光计算产品。约20.0%将用于公司的商业化工作。约10.0%所得款项净额将用于营运资金及一般企业用途。",65.055709534067,--,53.8300,主板,是
3296.HK,华勤技术,2026/04/22,"发售以供认购,发售以供配售",,否,--,77.7000,--,77.7000,100,7848.3600,58548200,58548200,5854900,5854900,52693300,52693300,--,--,8782200,--,4549195140.0000,86095140.0000,4463100000.0000,--,531.3300,2026/04/15,2026/04/15,2026/04/20,2026/04/21,2026/04/22,2026/04/23,2026/04/23,--,--,--,--,HKD,67330400,58548200,--,--,29250100,1.0000000000,CNY,4549195140.0000,0.0000,"约40.0%将用于以产品为核心的研发投入,增强技术实力。约35.0%将用于扩大及优化公司的制造体系。约15.0%将用于战略投资与垂直整合。约10.0%将用于营运资金及一般公司用途。",49.95900813347,--,13.3400,主板,是
2476.HK,胜宏科技,2026/04/22,"发售以供认购,发售以供配售",,否,--,209.8800,--,209.8800,100,21199.6700,83348000,95850000,8334800,8334800,75013200,87515200,--,--,12502000,14377500,23134547700.0000,254757700.0000,22879790000.0000,--,431.1500,2026/04/13,2026/04/13,2026/04/16,2026/04/16,2026/04/20,2026/04/21,2026/04/21,--,--,--,--,HKD,95850000,110227500,8334700,7983300,37220100,1.0000000000,CNY,20116998000.0000,3017549700.0000,"所得款项净额约74.0%,预期将用于扩展公司在中国内地的生产;所得款项净额约7.0%,预期将用于购买mSAP制造设备及其他机器的智能制造设备,以进一步多样化公司的产品组合,保持在先进PCB技术领域的竞争优势;所得款项净额约9.0%,预期将于五年期间用于研发活动。所得款项净额约10.0%,预期将用作营运资金及一般公司用途。",33.768835450368,--,18.5000,主板,是
0068.HK,群核科技,2026/04/20,"发售以供认购,发售以供配售",,否,--,7.6200,6.7200,7.6200,500,3848.4300,160619000,160619000,16062000,16062000,144557000,144557000,--,--,24092500,24092500,1407501630.0000,141101630.0000,1266400000.0000,--,1590.5600,2026/04/09,2026/04/09,2026/04/14,2026/04/15,2026/04/16,2026/04/17,2026/04/17,--,--,--,--,HKD,184711500,184711500,--,--,59647000,0.0000250000,USD,1223916780.0000,183584850.0000,所得款项净额约30.0%将用于实施公司的国际扩张策略;所得款项净额约20.0%将用于增强现有产品的功能;所得款项净额约20.0%将用于支持公司的国内销售及市场推广活动;所得款项净额约20.0%将用于投资公司的核心技术及基础设施;所得款项净额约10.0%将用作营运资金及一般企业用途。,32.293016953735,--,14.4600,主板,是
3277.HK,长光辰芯,2026/04/16,"发售以供认购,发售以供配售",,否,--,39.8800,39.8800,39.8800,100,4028.2300,65294200,65294200,6529500,6529500,58764700,58764700,--,--,9794100,--,2603932696.0000,100332696.0000,2503600000.0000,--,1138.2100,2026/04/09,2026/04/09,2026/04/14,2026/04/09,2026/04/16,2026/04/17,2026/04/17,--,--,--,--,HKD,75088300,65294200,--,--,32645200,1.0000000000,CNY,2603932696.0000,0.0000,"约55.0%预计将用于增加公司的研发投资,以推动持续创新并支持公司在主要应用场景(即工业成像、科学成像、专业影像及医疗成像解决方案)的持续研发及产品迭代;约21.0%预计将用于建立一个先进的CMOS图像传感器研发中心;约4.0%预计用于扩展公司的封装及测试生产线;约10.0%预计用于通过战略性地域扩张,增强公司的海外运营;约10.0%预计用于营运资金及一般企业用途。",50.000869924174,--,22.6900,主板,是
6656.HK,思格新能,2026/04/15,"发售以供认购,发售以供配售",,否,--,324.2000,324.2000,324.2000,100,32746.9600,13573900,13573900,1357400,1357400,12216500,12216500,--,--,2036000,--,4400658380.0000,210758380.0000,4189900000.0000,--,1102.0500,2026/04/08,2026/04/08,2026/04/13,2026/04/08,2026/04/15,2026/04/16,2026/04/16,--,--,--,--,HKD,15609900,13573900,--,--,6760400,0.1000000000,CNY,4400658380.0000,0.0000,"约38.0%将用于进一步扩大公司的研发团队及提升公司的研发设备及技术;约32.0%将用于加强公司的营销及售后服务,以推动扩大公司的全球客户群和业务覆盖范围;约12.0%将用于扩张产能;约9.0%将用于多元化公司的产品组合及扩展公司的工商业光储充解决方案;约9.0%将用于营运资金及一般公司用途。",49.813602413737,--,31.2000,主板,是
