p05493_f001,p05493_f002,p05493_f003,p05493_f004,p05493_f005,p05493_f006,p05493_f007,p05493_f008,p05493_f009,p05493_f010,p05493_f011,p05493_f012,p05493_f013,p05493_f014,p05493_f015,p05493_f016,p05493_f017,p05493_f018,p05493_f019,p05493_f020,p05493_f021,p05493_f022,p05493_f023,p05493_f024,p05493_f025,p05493_f026,p05493_f027,p05493_f028,p05493_f029,p05493_f030,p05493_f031,jydm_mc
0309.HK,新华通讯频媒,配售,预案,2026/05/07,--,--,--,--,--,--,"集团大部分现有可动用财务资源必须投入集团的主营业务,以应付业务发展及集团的一般营运资金需求。",HKD,--,其他支援服务,综合支持服务,139962,9,--,--,--,--,--,--,--,--,--,--,--,--,--,新华通讯频媒
3919.HK,金力集团,配售,预案,2026/05/06,--,--,--,--,--,--,"认购事项所得款项总额及估计所得款项净额(经扣除相关开支后)将分别约为7.78百万港元及7.70百万港元。公司将动用认购事项所得款项净额如下:(i)3.12百万港元(占约40%)用作开发及扩展新开发技术及专利在医疗保健及医疗器材所用特种电池的应用,并开发及提升特种电池的人工智能生产设施和设备;(ii)3.12百万港元(占约40%)用作偿还集团将于未来六个月到期的银行融资;及(iii)1.56百万港元(占约20%)用作集团一般营运资金。",HKD,--,能源储存装置,电子元件,139961,9,--,--,--,--,--,--,--,--,--,--,--,--,--,金力集团
0256.HK,冠城钟表珠宝,供股,预案,2026/05/05,2026/07/09,--,--,0.1000,--,--,"(i)不少于所得款项净额的70%,或约100.4百万港元,将用于偿还未偿还债务。截至二零二五年十二月三十一日,集团的未偿还债务约为805.8百万港元;及(ii)余下所得款项净额将用作集团一般营运资金。",HKD,每持有3股现有股份获发1股供股股份,珠宝钟表,服装、服饰与奢侈品,26073,8,2026/07/13,--,英皇证券有限公司,--,--,--,--,--,--,英皇企业融资有限公司,--,--,--,冠城钟表珠宝
1568.HK,承达集团,配售,预案,2026/05/05,--,--,--,--,--,--,"假设配售股份获悉数配售,配售所得款项总额预计合共约为14.5百万港元,而配售所得款项净额(经扣除配售佣金及其他相关费用及配售开支后)预计合共约为14.2百万港元。公司就每股配售股份的净价估计约为0.643港元。公司拟将配售所得款项净额用作集团的一般营运资金。",HKD,--,楼宇建造,建筑与工程,139960,9,--,--,佳富达证券有限公司,--,--,--,--,--,--,--,--,--,--,承达集团
8471.HK,新达控股,配售,预案,2026/05/05,--,--,--,--,--,--,预期(i)约2.6百万港元(相当于所得款项净额约55.32%)将用于集团于香港发展及扩展放债业务;及(ii)余额约2.1百万港元(相当于所得款项净额约44.68%)将用作公司之一般营运资金。,HKD,--,纺织品及布料,商业印刷,139959,9,--,--,瑞邦证券有限公司,--,--,--,--,--,--,--,--,--,--,新达控股
0456.HK,新城市建设发展,配售,预案,2026/05/04,--,--,--,--,--,--,所得款项净额用作集团一般营运资金。,HKD,--,地产投资,房地产开发,139956,9,--,--,--,--,--,--,--,--,--,--,--,--,--,新城市建设发展
0474.HK,信铭生命科技,代价发行,预案,2026/05/04,--,--,--,--,--,--,向Imagi Fin Group Limited收购股份。,HKD,--,重型机械,建筑与工程,134224,10,--,--,--,--,--,--,--,--,--,浤博资本有限公司,--,--,--,信铭生命科技
0476.HK,科轩动力控股,配售,预案,2026/05/04,--,--,--,--,--,--,董事拟将第二次认购事项之所得款项净额用于支付判决金额及补充集团之一般营运资金。,HKD,--,商业用车及货车,汽车制造商,139955,9,--,--,--,--,--,--,--,--,--,--,--,--,--,科轩动力控股
0343.HK,文化传信,配售,预案,2026/04/29,--,--,--,--,--,--,公司拟将认购事项所得款项净额用于公司的营运资金。,HKD,--,出版,出版,139954,9,--,--,--,--,--,--,--,--,--,--,--,--,--,文化传信
0397.HK,嬴集团,供股,预案,2026/04/29,--,--,--,0.0380,--,--,"公司拟将供股的所得款项净额用于(i)约60%用于扩充集团的金融服务业务,包括向客户提供孖展融资;(ii)约10%用于升级及加强集团的金融交易系统及基建,以及相关人员、市场推广及业务能力,以扩大集团的服务范围,并支持集团的业务扩充计划(包括(须待监管部门批准)计划扩展美国股票买卖及代币化证券相关活动);(iii)约20%的所得款项净额将用作为集团的借贷及资产投资分类提供额外资本。此部分将用作支付法律及专业费用、持续管理及监察成本,以及新增提取贷款及融资需要不时所需的额外资本;及(iv)约10%的所得款项净额将拨付集团办公室及行政管理、专业及合规、企业管治、投资者关系等事宜以及其他业务及策略发展的成本及开支。",HKD,每持有2股现有股份获发1股供股,信贷,特殊金融服务,26072,8,--,--,国农证券有限公司,--,--,--,--,--,--,--,--,--,--,嬴集团
0472.HK,新丝路控股集团,配售,预案,2026/04/28,--,--,--,--,--,--,"集团拟将认购事项之所得款项净额用于以下各项(i)约55,100,000港元用于投资智能种子业务;(ii)约55,100,000港元用于投资半导体供应链融资业务;及(iii)约27,560,000港元用于一般营运资金(包括支付员工成本、租金开支及其他业务及公司开支)。",HKD,--,物业服务及管理,房地产经营公司,139953,9,--,--,--,--,--,--,--,--,--,--,--,--,--,新丝路控股集团
1921.HK,达力普控股,配售,预案,2026/04/28,--,--,--,--,--,--,公司拟将所得款项净额用作集团的一般营运资金及一般企业用途。,HKD,--,油气设备与服务,石油天然气设备与服务,139947,9,--,--,香港上海汇丰银行有限公司,--,--,香港上海汇丰银行有限公司,--,--,--,--,--,--,--,达力普控股
2889.HK,博泰车联,配售,实施完成,2026/04/28,2026/05/06,895980.0000,0.597355,127.3500,114103053.0000,113610000.0000,(i)约60%用于AI技术应用及产品研发和相关业务拓展;及(ii)约40%用于营运资金及一般企业用途。,HKD,--,汽车零件,信息科技咨询与其它服务,139950,9,--,493053.0000,--,--,--,--,--,--,--,--,--,--,--,博泰车联
3750.HK,宁德时代,配售,实施完成,2026/04/28,2026/04/30,62385000.0000,1.366874,628.2000,39190257000.0000,39123270000.0000,"本次配售所得净募集资金将用于全球新能源项目建设和零碳业务布局、研发投入、补充日常营运资金及其他一般企业用途,以加速实施全球化零碳战略并支撑长期可持续发展。",HKD,--,能源储存装置,电子元件,139951,9,--,66987000.0000,"中国国际金融香港证券有限公司,摩根士丹利亚洲有限公司,Merrill Lynch (Asia Pacific) Limited,J.P. Morgan Securities (Asia Pacific) Limited",--,"中国国际金融香港证券有限公司,摩根士丹利亚洲有限公司,Merrill Lynch (Asia Pacific) Limited,J.P. Morgan Securities (Asia Pacific) Limited",--,--,--,--,--,--,--,--,宁德时代
