thscode,post_ipo_shares,actual_issued_shares,pre_ipo_shares
0100.HK,309255668.0,33577240.0,275678428.0
1021.HK,543597580.0,106371600.0,437225980.0
1111.HK,770650000.0,125000000.0,645650000.0
1187.HK,235897000.0,27000000.0,208897000.0
1204.HK,500000000.0,125000000.0,375000000.0
1244.HK,255642000.0,16765000.0,238877000.0
1274.HK,226330340.0,22116000.0,204214340.0
1276.HK,6603522074.0,258197600.0,6345324474.0
1284.HK,600000000.0,150000000.0,450000000.0
1304.HK,111107780.0,21556000.0,89551780.0
1318.HK,478423400.0,90186900.0,388236500.0
1333.HK,379651762.0,13000000.0,366651762.0
1334.HK,500000000.0,125000000.0,375000000.0
1354.HK,66666800.0,16666800.0,50000000.0
1364.HK,2356316660.0,204272800.0,2152043860.0
1384.HK,326632000.0,26632000.0,300000000.0
1405.HK,128678789.0,13624200.0,115054589.0
1406.HK,500000000.0,136000000.0,364000000.0
1407.HK,440000000.0,110000000.0,330000000.0
1471.HK,141195600.0,35300000.0,105895600.0
1489.HK,1000000000.0,250000000.0,750000000.0
1497.HK,465500000.0,32000000.0,433500000.0
1519.HK,8812166235.0,326550400.0,8485615835.0
1541.HK,373239895.0,18065000.0,355174895.0
1609.HK,54831344.0,8421850.0,46409494.0
1641.HK,98263000.0,23263000.0,75000000.0
1698.HK,3432154264.0,nan,
1768.HK,215511200.0,17837800.0,197673400.0
1828.HK,1271003877.0,96343500.0,1174660377.0
1879.HK,91968097.0,13795215.0,78172882.0
1880.HK,2055237444.0,116383500.0,1938853944.0
1947.HK,600000000.0,150000000.0,450000000.0
1973.HK,693031110.0,173258000.0,519773110.0
1989.HK,472446482.0,46000000.0,426446482.0
2026.HK,433541553.0,48249000.0,385292553.0
2050.HK,4146769035.0,476536400.0,3670232635.0
2076.HK,890153504.0,nan,
2097.HK,377059900.0,19618800.0,357441100.0
2105.HK,390100350.0,63728000.0,326372350.0
2121.HK,559304838.0,44744400.0,514560438.0
2145.HK,396958000.0,37957900.0,359000100.0
2147.HK,800000000.0,200000000.0,600000000.0
2149.HK,60000000.0,15000000.0,45000000.0
2152.HK,100000000.0,26047000.0,73953000.0
2157.HK,1658545838.0,127775000.0,1530770838.0
2167.HK,174000000.0,43530400.0,130469600.0
2172.HK,582658100.0,13700000.0,568958100.0
2179.HK,479104500.0,35482500.0,443622000.0
2228.HK,3406772761.0,196169000.0,3210603761.0
2237.HK,1600000000.0,400000000.0,1200000000.0
2245.HK,1550316350.0,238162600.0,1312153750.0
2246.HK,615527987.0,31200000.0,584327987.0
2250.HK,1000000000.0,120000000.0,880000000.0
2259.HK,2623990700.0,401339300.0,2222651400.0
2260.HK,480000000.0,117642000.0,362358000.0
2268.HK,1178446000.0,197604500.0,980841500.0
2271.HK,506668000.0,137414000.0,369254000.0
2291.HK,346749997.0,22455000.0,324294997.0
2297.HK,1167348000.0,23799000.0,1143549000.0
2306.HK,870060000.0,121881000.0,748179000.0
2315.HK,396688420.0,24468500.0,372219920.0
2321.HK,964000000.0,277150000.0,686850000.0
2325.HK,613188000.0,146250500.0,466937500.0
2347.HK,500000000.0,55000000.0,445000000.0
2350.HK,625000000.0,156250000.0,468750000.0
2352.HK,66666667.0,16990867.0,49675800.0
2361.HK,450000000.0,76770000.0,373230000.0
2367.HK,991608800.0,26000000.0,965608800.0
2370.HK,200000000.0,50000000.0,150000000.0
2372.HK,800000000.0,200000000.0,600000000.0
2373.HK,230581068.0,46616500.0,183964568.0
2376.HK,133340000.0,33340000.0,100000000.0
2385.HK,352000000.0,52000000.0,300000000.0
2390.HK,326068295.0,26000000.0,300068295.0
2391.HK,578546560.0,7300000.0,571246560.0
2392.HK,560320500.0,34390500.0,525930000.0
2396.HK,117657522.0,17648800.0,100008722.0
2402.HK,117519387.0,18298450.0,99220937.0
2405.HK,800000000.0,200000000.0,600000000.0
2407.HK,147934869.0,13104100.0,134830769.0
2408.HK,710689300.0,97364500.0,613324800.0
2409.HK,500000000.0,125000000.0,375000000.0
2410.HK,370835818.0,47880000.0,322955818.0
2411.HK,1578947500.0,88544000.0,1490403500.0
2415.HK,607170950.0,66789000.0,540381950.0
2416.HK,574259030.0,58575000.0,515684030.0
2418.HK,2172000000.0,607042500.0,1564957500.0
2419.HK,388875636.0,26912000.0,361963636.0
2420.HK,500000000.0,29250000.0,470750000.0
2421.HK,505327300.0,nan,
2422.HK,1000000000.0,250000000.0,750000000.0
2423.HK,3793220806.0,nan,
2425.HK,699857112.0,31246000.0,668611112.0
2427.HK,950000000.0,192850000.0,757150000.0
2429.HK,779835433.0,22576500.0,757258933.0
2431.HK,399190000.0,39946400.0,359243600.0
2432.HK,400000000.0,44195400.0,355804600.0
2433.HK,480000000.0,120000000.0,360000000.0
2436.HK,353259000.0,53259000.0,300000000.0
2438.HK,1491493482.0,94995000.0,1396498482.0
2439.HK,1000000000.0,250000000.0,750000000.0
2440.HK,225000000.0,36000000.0,189000000.0
2442.HK,408000000.0,102000000.0,306000000.0
2443.HK,832662428.0,15000000.0,817662428.0
2450.HK,264000000.0,66000000.0,198000000.0
2451.HK,426667000.0,106667000.0,320000000.0
2453.HK,716338416.0,39420200.0,676918216.0
2455.HK,300000000.0,75000000.0,225000000.0
2457.HK,1000000000.0,250000000.0,750000000.0
2458.HK,138000000.0,12420000.0,125580000.0
2459.HK,1000000000.0,172400000.0,827600000.0
2460.HK,2347826200.0,398196600.0,1949629600.0
2465.HK,665078903.0,100000000.0,565078903.0
2469.HK,2097308000.0,20000000.0,2077308000.0
2473.HK,515625000.0,103125000.0,412500000.0
2476.HK,968407313.0,110227500.0,858179813.0
2477.HK,500000000.0,125000000.0,375000000.0
2479.HK,50118200.0,4818200.0,45300000.0
2480.HK,202449032.0,10386000.0,192063032.0
2481.HK,301600000.0,75600000.0,226000000.0
2482.HK,1393876104.0,43211000.0,1350665104.0
2483.HK,500000000.0,125000000.0,375000000.0
2486.HK,125200400.0,25000000.0,100200400.0
2487.HK,304024465.0,21281800.0,282742665.0
2489.HK,2000000000.0,500000000.0,1500000000.0
2490.HK,283933156.0,30726000.0,253207156.0
2493.HK,446730200.0,47130200.0,399600000.0
2495.HK,35424890.0,4464980.0,30959910.0
2496.HK,193001200.0,11849200.0,181152000.0
2497.HK,500000000.0,100000000.0,400000000.0
2498.HK,449211723.0,24637500.0,424574223.0
2499.HK,348022816.0,12136000.0,335886816.0
2501.HK,500000000.0,125000000.0,375000000.0
2502.HK,955640000.0,238910000.0,716730000.0
2503.HK,514800000.0,128700000.0,386100000.0
2505.HK,439940000.0,97625000.0,342315000.0
2506.HK,120878233.0,7035550.0,113842683.0
2507.HK,365839218.0,55025500.0,310813718.0
2508.HK,609733000.0,122196500.0,487536500.0
2509.HK,222071600.0,12046400.0,210025200.0
2510.HK,1650940000.0,265031000.0,1385909000.0
2511.HK,514770668.0,24194000.0,490576668.0
2512.HK,460000000.0,115000000.0,345000000.0
2513.HK,440230190.0,43032400.0,397197790.0
2515.HK,215794749.0,53950000.0,161844749.0
2516.HK,780000000.0,140000000.0,640000000.0
2517.HK,2738802800.0,77360400.0,2661442400.0
2519.HK,415205916.0,29894700.0,385311216.0
2520.HK,1333334000.0,373486000.0,959848000.0
2521.HK,1625000000.0,414375000.0,1210625000.0
2522.HK,356311832.0,17816000.0,338495832.0
2525.HK,153209711.0,22482500.0,130727211.0
2526.HK,88879200.0,7999200.0,80880000.0
2529.HK,160000000.0,40000000.0,120000000.0
2530.HK,1000000000.0,250000000.0,750000000.0
2531.HK,366600000.0,63600000.0,303000000.0
2533.HK,569169253.0,37000000.0,532169253.0
2535.HK,2000000000.0,500000000.0,1500000000.0
2536.HK,800000000.0,153847000.0,646153000.0
2539.HK,55555600.0,5555600.0,50000000.0
2540.HK,500000000.0,125000000.0,375000000.0
2543.HK,31667841.0,9041000.0,22626841.0
